FolderDate,source_file,Strain,Culture,Day
20230901,1_1P_S88,P,1,0
20230901,2_2P_S89,P,2,0
20230901,3_3P_S90,P,3,0
20230901,4_4P_S91,P,4,0
20230901,5_5P_S92,P,5,0
20230901,6_6P_S93,P,6,0
20230901,7_7P_S94,P,7,0
20230901,8_8P_S95,P,8,0
20230901,9_9P_S96,P,9,0
20230901,10_10P_S97,P,10,0
20230901,1_1P_S88,PL,1,0
20230901,2_2P_S89,PL,2,0
20230901,3_3P_S90,PL,3,0
20230901,4_4P_S91,PL,4,0
20230901,5_5P_S92,PL,5,0
20230901,6_6P_S93,PL,6,0
20230901,7_7P_S94,PL,7,0
20230901,8_8P_S95,PL,8,0
20230901,9_9P_S96,PL,9,0
20230901,10_10P_S97,PL,10,0
20230901,11_1iL_S98,PL,1,3
20230901,12_2iL_S99,PL,2,3
20230901,13_3iL_S100,PL,3,3
20230901,14_4iL_S101,PL,4,3
20230901,15_5iL_S102,PL,5,3
20230901,16_6iL_S103,PL,6,3
20230901,17_7iL_S104,PL,7,3
20230901,18_8iL_S105,PL,8,3
20230901,19_9iL_S106,PL,9,3
20230901,20_10iL_S107,PL,10,3
20230901,21_1fL_S108,PL,1,16
20230901,22_2fL_S109,PL,2,16
20230901,23_3fL_S110,PL,3,16
20230901,24_4fL_S111,PL,4,16
20230901,25_5fL_S112,PL,5,16
20230901,26_6fL_S113,PL,6,16
20230901,27_7fL_S114,PL,7,16
20230901,28_8fL_S115,PL,8,16
20230901,29_9fL_S116,PL,9,16
20230901,30_10fL_S117,PL,10,16
20230901,1_1P_S88,PLA,1,0
20230901,2_2P_S89,PLA,2,0
20230901,3_3P_S90,PLA,3,0
20230901,4_4P_S91,PLA,4,0
20230901,5_5P_S92,PLA,5,0
20230901,6_6P_S93,PLA,6,0
20230901,7_7P_S94,PLA,7,0
20230901,8_8P_S95,PLA,8,0
20230901,9_9P_S96,PLA,9,0
20230901,10_10P_S97,PLA,10,0
20230901,11_1iL_S98,PLA,1,3
20230901,12_2iL_S99,PLA,2,3
20230901,13_3iL_S100,PLA,3,3
20230901,14_4iL_S101,PLA,4,3
20230901,15_5iL_S102,PLA,5,3
20230901,16_6iL_S103,PLA,6,3
20230901,17_7iL_S104,PLA,7,3
20230901,18_8iL_S105,PLA,8,3
20230901,19_9iL_S106,PLA,9,3
20230901,20_10iL_S107,PLA,10,3
20230901,21_1fL_S108,PLA,1,16
20230901,22_2fL_S109,PLA,2,16
20230901,23_3fL_S110,PLA,3,16
20230901,24_4fL_S111,PLA,4,16
20230901,25_5fL_S112,PLA,5,16
20230901,26_6fL_S113,PLA,6,16
20230901,27_7fL_S114,PLA,7,16
20230901,28_8fL_S115,PLA,8,16
20230901,29_9fL_S116,PLA,9,16
20230901,30_10fL_S117,PLA,10,16
20230901,31_1iA_S118,PLA,1,19
20230901,32_2iA_S119,PLA,2,19
20230901,33_3iA_S120,PLA,3,19
20230901,34_4iA_S121,PLA,4,19
20230901,35_5iA_S122,PLA,5,19
20230901,36_6iA_S123,PLA,6,19
20230901,37_7iA_S124,PLA,7,19
20230901,38_8iA_S125,PLA,8,19
20230901,39_9iA_S126,PLA,9,19
20230901,40_10iA_S127,PLA,10,19
20230901,41_1fA_S128,PLA,1,31
20230901,42_2fA_S129,PLA,2,31
20230901,43_3fA_S130,PLA,3,31
20230901,44_4fA_S131,PLA,4,31
20230901,45_5fA_S132,PLA,5,31
20230901,46_6fA_S133,PLA,6,31
20230901,47_7fA_S134,PLA,7,31
20230901,48_8fA_S135,PLA,8,31
20230901,49_9fA_S136,PLA,9,31
20230901,50_10fA_S137,PLA,10,31
20230901,1_1P_S88,PLAC,1,0
20230901,2_2P_S89,PLAC,2,0
20230901,3_3P_S90,PLAC,3,0
20230901,4_4P_S91,PLAC,4,0
20230901,5_5P_S92,PLAC,5,0
20230901,6_6P_S93,PLAC,6,0
20230901,7_7P_S94,PLAC,7,0
20230901,8_8P_S95,PLAC,8,0
20230901,9_9P_S96,PLAC,9,0
20230901,10_10P_S97,PLAC,10,0
20230901,11_1iL_S98,PLAC,1,3
20230901,12_2iL_S99,PLAC,2,3
20230901,13_3iL_S100,PLAC,3,3
20230901,14_4iL_S101,PLAC,4,3
20230901,15_5iL_S102,PLAC,5,3
20230901,16_6iL_S103,PLAC,6,3
20230901,17_7iL_S104,PLAC,7,3
20230901,18_8iL_S105,PLAC,8,3
20230901,19_9iL_S106,PLAC,9,3
20230901,20_10iL_S107,PLAC,10,3
20230901,21_1fL_S108,PLAC,1,16
20230901,22_2fL_S109,PLAC,2,16
20230901,23_3fL_S110,PLAC,3,16
20230901,24_4fL_S111,PLAC,4,16
20230901,25_5fL_S112,PLAC,5,16
20230901,26_6fL_S113,PLAC,6,16
20230901,27_7fL_S114,PLAC,7,16
20230901,28_8fL_S115,PLAC,8,16
20230901,29_9fL_S116,PLAC,9,16
20230901,30_10fL_S117,PLAC,10,16
20230901,31_1iA_S118,PLAC,1,19
20230901,32_2iA_S119,PLAC,2,19
20230901,33_3iA_S120,PLAC,3,19
20230901,34_4iA_S121,PLAC,4,19
20230901,35_5iA_S122,PLAC,5,19
20230901,36_6iA_S123,PLAC,6,19
20230901,37_7iA_S124,PLAC,7,19
20230901,38_8iA_S125,PLAC,8,19
20230901,39_9iA_S126,PLAC,9,19
20230901,40_10iA_S127,PLAC,10,19
20230901,41_1fA_S128,PLAC,1,31
20230901,42_2fA_S129,PLAC,2,31
20230901,43_3fA_S130,PLAC,3,31
20230901,44_4fA_S131,PLAC,4,31
20230901,45_5fA_S132,PLAC,5,31
20230901,46_6fA_S133,PLAC,6,31
20230901,47_7fA_S134,PLAC,7,31
20230901,48_8fA_S135,PLAC,8,31
20230901,49_9fA_S136,PLAC,9,31
20230901,50_10fA_S137,PLAC,10,31
20230901,51_1iC_S138,PLAC,1,34
20230901,52_2iC_S139,PLAC,2,34
20230901,53_3iC_S140,PLAC,3,34
20230901,54_4iC_S141,PLAC,4,34
20230901,55_5iC_S142,PLAC,5,34
20230901,56_6iC_S143,PLAC,6,34
20230901,57_7iC_S144,PLAC,7,34
20230901,58_8iC_S145,PLAC,8,34
20230901,59_9iC_S146,PLAC,9,34
20230901,60_10iC_S147,PLAC,10,34
20230901,61_1fC_S148,PLAC,1,81
20230901,62_2fC_S149,PLAC,2,81
20230901,63_3fC_S150,PLAC,3,81
20230901,64_4fC_S151,PLAC,4,81
20230901,65_5fC_S152,PLAC,5,81
20230901,66_6fC_S153,PLAC,6,81
20230901,67_7fC_S154,PLAC,7,81
20230901,68_8fC_S155,PLAC,8,81
20230901,69_9fC_S156,PLAC,9,81
20230901,70_10fC_S157,PLAC,10,81
20240416,PC1_S191,PC,1,19
20240416,PC2_S192,PC,2,19
20240416,PC3_S193,PC,3,19
20240416,PC4_S194,PC,4,19
20240416,PC5_S195,PC,5,19
20240416,PC6_S196,PC,6,19
20240416,PC7_S197,PC,7,19
20240416,PC8_S198,PC,8,19
20240416,PC9_S199,PC,9,19
20240416,PC10_S200,PC,10,19
20240416,PP_S190,PC,1,0
20240416,PP_S190,PC,2,0
20240416,PP_S190,PC,3,0
20240416,PP_S190,PC,4,0
20240416,PP_S190,PC,5,0
20240416,PP_S190,PC,6,0
20240416,PP_S190,PC,7,0
20240416,PP_S190,PC,8,0
20240416,PP_S190,PC,9,0
20240416,PP_S190,PC,10,0
20240611,PA1_S191,PA,1,14
20240611,PA2_S192,PA,2,14
20240611,PA3_S193,PA,3,14
20240611,PA4_S194,PA,4,14
20240611,PA5_S195,PA,5,14
20240611,PA6_S196,PA,6,14
20240611,PA7_S197,PA,7,14
20240611,PA8_S198,PA,8,14
20240611,PA9_S199,PA,9,14
20240611,PA10_S200,PA,10,14
20240611,PP3_S190,PA,1,0
20240611,PP3_S190,PA,2,0
20240611,PP3_S190,PA,3,0
20240611,PP3_S190,PA,4,0
20240611,PP3_S190,PA,5,0
20240611,PP3_S190,PA,6,0
20240611,PP3_S190,PA,7,0
20240611,PP3_S190,PA,8,0
20240611,PP3_S190,PA,9,0
20240611,PP3_S190,PA,10,0
20240611,PP3_S190,PCr,1,0
20240611,PP3_S190,PCr,2,0
20240611,PP3_S190,PCr,3,0
20240611,PP3_S190,PCr,4,0
20240611,PP3_S190,PCr,5,0
20240611,PP3_S190,PCr,6,0
20240102pcr,AL11_S16,PCr,1,15
20240102pcr,AL12_S17,PCr,2,15
20240102pcr,AL13_S18,PCr,3,15
20240102pcr,AL14_S19,PCr,4,15
