run,recorded_date,recorded_reference_path,archived_genbank,reference_fasta,reference_length,summary_json,log,recorded_command
20230901/10_10P_S97,Mon Nov  6 12:51:13 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/10_10P_S97/output/summary.json,out/20230901/10_10P_S97/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/10_10P_S97_R1_001.fastq
20230901/11_1iL_S98,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/11_1iL_S98/output/summary.json,out/20230901/11_1iL_S98/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/11_1iL_S98_R1_001.fastq
20230901/12_2iL_S99,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/12_2iL_S99/output/summary.json,out/20230901/12_2iL_S99/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/12_2iL_S99_R1_001.fastq
20230901/13_3iL_S100,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/13_3iL_S100/output/summary.json,out/20230901/13_3iL_S100/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/13_3iL_S100_R1_001.fastq
20230901/14_4iL_S101,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/14_4iL_S101/output/summary.json,out/20230901/14_4iL_S101/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/14_4iL_S101_R1_001.fastq
20230901/15_5iL_S102,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/15_5iL_S102/output/summary.json,out/20230901/15_5iL_S102/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/15_5iL_S102_R1_001.fastq
20230901/16_6iL_S103,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/16_6iL_S103/output/summary.json,out/20230901/16_6iL_S103/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/16_6iL_S103_R1_001.fastq
20230901/17_7iL_S104,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/17_7iL_S104/output/summary.json,out/20230901/17_7iL_S104/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/17_7iL_S104_R1_001.fastq
20230901/18_8iL_S105,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/18_8iL_S105/output/summary.json,out/20230901/18_8iL_S105/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/18_8iL_S105_R1_001.fastq
20230901/19_9iL_S106,Mon Nov  6 12:51:11 2023,/work/greencenter/s434226/plac/reference/data/sequence-4.gb,reference/genbank/sequence-4.gb,reference/fasta/b87b7df1a2f597f8b3cdbf0c4f49edbf7a107deb343fcd687bffc0f4b4864227.fasta,4641652,out/20230901/19_9iL_S106/output/summary.json,out/20230901/19_9iL_S106/output/log.txt,breseq --polymorphism-prediction --num-processors 16 -r /work/greencenter/s434226/plac/reference/data/sequence-4.gb /work/greencenter/s434226/plac/data/fastq/19_9iL_S106_R1_001.fastq
