(Gene-Ontology-Terms Pathways All-Genes)	p-values	Matches
identical protein binding	3.1574358e-11	pflB // proC // grpE // yggE // yfbR // osmC // dgcE // seqA // hslV // mlc // hdhA // aceA // fdhD // fabF // dsbG // katE // mnmE // ycdX // hspQ // gor // rfbB // tdh // hchA // uvrA // udp // nfsB // folE // gltA // dgcN // macB // frmA // pdxH // lrp // uraA // degP // yqjG // wecB // fadR // serC // gnd // folD // pyrC // gstB // maeA // diaA // recE // folX // deoD // clpP // speA // pqiB // sodA // phoP // alaS // hns // uspA // ldhA // psd // grxD // minC // barA // fhlA // lon // guaB // uvrD // dcuR // fabA // thyA // fbaA // hldE // gpmA // htpG // ltaE // pheA // gpsA // guaA // poxB // tolC // yfhM // hemG // metK // speG // groS // hemW // accA // clpX // pykF // fbaB // nagB // ydgA // nadR // yjiA // rseB // cmoA // exbD // letB // panC // hemB // rraB // glyA // prlF // rhlB // yejK // pgi // gyrA // clpB // rraA // metG // tyrB // accC // dcd // pykA // hslO // gmhA // ybdG // glmU // pdeK // narX // ariR // roxA // proA // hda // pepP // uspD // pdxA // pepQ // hemF // aspA // kdsD // galU // nadK // ppiD // lysS // rbn // tsaB // ompF // groL // tyrS // ydjA // cas1 // gshB // ygaP // dcyD // yjtD // upp // aphA // arcA // amn // lysP // ydfG // nadE // aspC // acrA // galR // nlpE // ftnA // ppnN // nagA // bdcA // moeA // tpiA // pheT // pspA // serA // adhE // ychF // cbpA // fabB // ldcC // gdhA // lptA // ubiD // zapA // lptC // ybdK // ftsK // patA // hinT // sbmA // pdxB // gapA // arnA // alaA // hslU // pldA // feoB // fumA // glpK // ivy // yhdH // thrA // tatA // yajL // cysB // ppx // bfr // ridA // hpt // dacC // dnaJ // wecA // pfkB // nudK // pepD // phoQ // mutS // maa // malT // pepN // truA // epmA // proS
small molecule binding	1.55755e-10	gpmM // sbcC // gadB // hfq // ribF // nagE // hrpA // speD // ybeZ // yfbR // cydD // dgcE // avtA // hslV // purL // cmk // mlc // hdhA // hmp // aceA // yecA // katE // yggX // recQ // slyD // mnmE // ycdX // hflX // gor // srkA // dnaC // yegH // ubiB // rpe // rfbB // tdh // idi // msrB // hchA // moaA // ilvI // uvrA // udp // nfsB // creC // folE // gltA // sdhC // dgcN // htpX // macB // vsr // frmA // pdxH // aroE // crcB // leuS // folC // argF // yihA // nfo // fadR // ycbZ // serC // aceK // gltX // gnd // uspE // pyrC // rppH // ulaG // sdhA // yeeZ // queG // waaP // ybhF // gstB // maeA // pgpA // yahK // gyrB // ileS // dacB // speA // sodA // ackA // araF // alaS // ldhA // grxD // barA // anmK // bipA // dgcJ // fhlA // folK // ratA // ghrB // lon // guaB // nhaA // uvrD // miaA // kefG // thyA // fbaA // hldE // gpmA // betA // htpG // ybiV // ltaE // rapA // gpsA // yajQ // guaA // poxB // ndh // mnmC // hemG // tktB // metK // dpiB // speG // dam // groS // hemW // accA // panE // clpX // hybO // nuoC // pykF // mutY // mfd // nadR // yjiA // prlC // recA // rnm // yrdD // nagK // cmoA // dhaR // ycjX // pyrD // cydA // ygiQ // hsdR // panC // hyaC // icd // yacG // aroB // hemB // arcB // glyA // potD // rhlB // pgi // gyrA // rsxC // yheS // clpB // gloB // metG // tyrB // accC // btuB // ubiG // clpA // ytfE // dcd // pykA // hslO // hscA // gmhA // glmU // ytfQ // gcd // narX // sapD // roxA // proA // hda // pck // pepP // carB // lapB // cutC // ydgJ // rcsD // glyS // valS // yniA // pdxA // pepQ // menA // acnA // hemF // potG // ygiC // hxpB // kdsD // gmhB // galU // ddlA // nadK // lysS // rbn // prkB // mrdA // groL // trkH // potF // tyrS // ydjA // cas1 // gshB // bisC // dnaK // mrp // dcyD // gshA // yfdG // asd // ampH // dgcP // nuoB // sbp // rlmD // upp // recC // aphA // umpG // bcsE // ulaR // nadE // hyfA // aspC // pgm // fur // dcp // ftnA // pgk // ppnN // glgB // nagA // bdcA // moeA // ghrA // pcnB // pheT // serA // yidA // adhE // yrfG // ychF // gdhA // yggS // nuoF // pabB // ubiD // dacD // glnS // pntB // murB // proX // rcnR // ybdK // fepB // ftsK // radD // ybeX // patA // hinT // recN // sbmA // pdxB // gapA // tcyN // arnA // relA // alaA // hslU // pldA // trpS // evgS // feoB // ydiJ // fumA // lolD // bepA // glpK // mazG // yigL // yfhL // accD // chbG // msrP // thrA // mnmA // kdsB // cvrA // umpH // znuC // cyaA // pta // gltB // iap // ppx // bfr // hpt // dacC // dnaJ // amyA // wecA // dsbB // pfkB // nudK // yobA // pepD // rlmA // cysS // sdhB // phoQ // sdaA // mutS // zntR // zapE // malT // selO // otsB // dbpA // pepN // nrdG // epmA // proS // acpP
purine nucleotide binding	1.55755e-10	sbcC // hfq // ribF // hrpA // ybeZ // cydD // dgcE // hslV // purL // cmk // hdhA // recQ // mnmE // hflX // gor // srkA // dnaC // ubiB // rfbB // moaA // uvrA // udp // creC // folE // gltA // dgcN // macB // aroE // leuS // folC // yihA // ycbZ // aceK // gltX // gnd // yeeZ // waaP // ybhF // maeA // gyrB // ileS // ackA // alaS // ldhA // barA // anmK // bipA // dgcJ // folK // fhlA // ghrB // lon // guaB // uvrD // miaA // hldE // gpmA // htpG // rapA // gpsA // yajQ // guaA // metK // dpiB // groS // accA // panE // clpX // nuoC // pykF // mfd // nadR // yjiA // recA // nagK // dhaR // ycjX // hsdR // panC // icd // aroB // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // pykA // hscA // narX // sapD // proA // hda // pck // carB // rcsD // glyS // valS // yniA // pdxA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // gshB // dnaK // mrp // gshA // yfdG // asd // dgcP // upp // recC // bcsE // nadE // pgk // ppnN // bdcA // ghrA // pcnB // pheT // serA // ychF // gdhA // nuoF // glnS // pntB // ybdK // radD // ftsK // recN // sbmA // pdxB // gapA // tcyN // arnA // relA // hslU // trpS // evgS // feoB // lolD // glpK // mazG // accD // thrA // mnmA // znuC // cyaA // ppx // hpt // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
heterocyclic compound binding	1.9081706e-10	sbcC // gadB // hfq // ribF // hrpA // ybeZ // yfbR // cydD // dgcE // avtA // hslV // purL // cmk // hdhA // hmp // recQ // mnmE // hflX // gor // srkA // dnaC // yegH // ubiB // rfbB // moaA // ilvI // uvrA // udp // nfsB // creC // folE // gltA // dgcN // macB // pdxH // aroE // leuS // folC // yihA // fadR // ycbZ // serC // aceK // gltX // gnd // sdhA // yeeZ // waaP // ybhF // maeA // gyrB // ileS // dacB // speA // ackA // alaS // ldhA // barA // anmK // bipA // dgcJ // folK // fhlA // ghrB // lon // guaB // uvrD // miaA // kefG // hldE // gpmA // betA // htpG // ltaE // rapA // gpsA // yajQ // guaA // poxB // ndh // mnmC // hemG // metK // dpiB // groS // accA // panE // clpX // nuoC // pykF // mfd // nadR // yjiA // recA // rnm // nagK // dhaR // ycjX // pyrD // hsdR // panC // icd // aroB // arcB // glyA // rhlB // gyrA // yheS // clpB // metG // tyrB // accC // clpA // dcd // pykA // hscA // gcd // narX // sapD // proA // hda // pck // carB // ydgJ // rcsD // glyS // valS // yniA // pdxA // potG // ygiC // ddlA // nadK // lysS // prkB // mrdA // groL // tyrS // ydjA // gshB // dnaK // mrp // dcyD // gshA // yfdG // asd // ampH // dgcP // upp // recC // umpG // bcsE // ulaR // nadE // aspC // pgk // ppnN // bdcA // ghrA // pcnB // pheT // serA // ychF // gdhA // yggS // nuoF // pabB // ubiD // dacD // glnS // pntB // murB // ybdK // fepB // radD // ftsK // ybeX // patA // hinT // recN // sbmA // pdxB // gapA // tcyN // arnA // relA // alaA // hslU // trpS // evgS // feoB // ydiJ // lolD // glpK // mazG // accD // thrA // mnmA // cvrA // znuC // cyaA // ppx // hpt // dacC // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
protein binding	4.1277493e-10	ybeD // pflB // lolB // proC // sbcC // dctA // gadB // murI // hfq // ribF // nagE // ybeZ // grpE // yggE // yfbR // osmC // dgcE // seqA // pitA // hslV // mlc // hdhA // actS // aceA // fdhD // fabF // dsbG // katE // slyD // mnmE // ycdX // hspQ // gor // dnaC // rpe // rfbB // tdh // bamD // hchA // uvrA // udp // nfsB // evgA // folE // gltA // dgcN // opgH // macB // vsr // dsbD // frmA // ybfE // pdxH // aroE // yjgL // leuS // dmsD // lrp // yeeN // uraA // ubiC // bluR // yfdH // degP // yqjG // wecB // fadR // serC // aceK // gltX // gnd // folD // pyrC // rppH // sdhA // grcA // ybhF // gstB // xseA // maeA // recE // diaA // kdgR // clsA // gyrB // folX // ileS // deoD // clpP // dacB // speA // pqiB // sodA // cytR // pldB // phoP // alaS // hns // uspA // ldhA // psd // grxD // minC // barA // bipA // dcuA // dgcJ // fhlA // ghrB // lon // guaB // uvrD // dcuR // fabA // thyA // fbaA // ldtA // hldE // gpmA // htpG // trhO // ltaE // pheA // rapA // gpsA // prc // yajQ // guaA // poxB // tolQ // glnD // tolC // metQ // yfhM // hemG // metK // dpiB // speG // dam // yedE // groS // rlmJ // hemW // surA // accA // lolC // mzrA // clpX // hybO // nuoC // pykF // fbaB // nagB // mfd // ydgA // nadR // yjiA // rseB // tmaR // rflP // recA // lolE // nagK // sbmC // cmoA // dhaR // letB // exbD // cydA // panC // hyaC // icd // yacG // aroB // hemB // rraB // rsmD // arcB // glyA // prlF // pabA // rhlB // yejK // ychJ // plsB // pgi // gyrA // lpoA // yheS // clpB // rraA // dsbA // metG // tyrB // accC // btuB // ubiG // rssB // clpA // ytfE // dcd // pykA // bolA // hslO // hscA // gmhA // ybdG // glmU // gcd // pdeK // narX // ariR // roxA // proA // hda // pepP // hslR // carB // lapB // uspD // ydgJ // rcsD // glyS // pdxA // pepQ // abpA // hemF // aspA // kdsD // ubiE // galU // lipB // nadK // ppiD // lysS // rbn // tsaB // mrdA // ompF // groL // hpf // tyrS // ycdY // ydjA // cas1 // gshB // blr // lsrK // ygaP // dnaK // dcyD // yjtD // rfaH // asd // rnb // upp // secB // recC // ycgZ // iclR // aphA // arcA // amn // lysP // ulaR // ydfG // nadE // aspC // acrA // osmY // pinR // galR // pgm // nlpE // ftnA // ppnN // nagA // bdcA // moeA // tpiA // pheT // ybjN // rsmC // pspA // serA // damX // adhE // ybhK // ychF // mlaD // cbpA // fabB // ldcC // gdhA // lptA // pabB // ubiD // pntB // proX // zapA // rcsF // lptC // ybdK // ybgC // radD // ftsK // patA // hinT // tolR // recN // waaC // elaB // rlhA // ycfP // sbmA // ymgA // pdxB // gapA // arnA // alaA // relA // prfA // cnoX // hslU // pldA // feoB // fumA // bepA // ucpA // glpK // sfsA // ivy // mazG // accD // yhdH // thrA // kdsB // tatA // cyaA // tamB // yajL // pta // ftsX // cysB // gltB // ppx // bfr // cho // acrZ // ridA // hpt // dacC // ompX // dnaJ // yhcB // wecA // dsbB // pfkB // nudK // insN // pepD // sdhB // phoQ // sdaA // ompR // mutS // maa // zntR // zapE // malT // pepN // nrdG // truA // rpoN // epmA // acpP // proS
catalytic activity	4.1277493e-10	pflB // proC // gpmM // sbcC // gadB // chaC // murI // ribF // nagE // hrpA // speD // eptC // yfbR // cydD // osmC // pdeB // dgcE // avtA // intF // yafD // hslV // purL // cmk // pdeG // hdhA // actS // hmp // aceA // fdhD // fabF // dsbG // katE // recQ // slyD // ribC // mnmE // ycdX // hflX // clsC // gor // rna // srkA // grxB // dnaC // ubiB // rpe // rfbB // mug // tdh // idi // dapD // msrB // hchA // waaA // moaA // truC // ilvI // uvrA // elaA // polA // udp // nfsB // creC // folE // gltA // prmC // sdhC // dgcN // htpX // opgH // glsA // macB // vsr // dsbD // ypfH // frmA // pdxH // aroE // leuS // folC // argF // ubiC // nfo // yfdH // degP // yqjG // wecB // waaH // ycbZ // serC // aceK // rpnC // gltX // gnd // folD // pyrC // rppH // ulaG // sdhA // grcA // yeeZ // queG // yeaK // waaP // ybhF // tusE // gstB // bcp // xseA // maeA // recE // pgpA // clsA // yahK // gyrB // folX // ileS // deoD // clpP // dacB // speA // sodA // pldB // talB // ackA // alaS // ldhA // psd // rlmM // grxD // barA // anmK // bipA // exoX // dgcJ // yhhN // folK // fhlA // ghrB // lon // guaB // uvrD // miaA // kefG // fabA // thyA // fbaA // ldtA // hldE // gpmA // betA // htpG // trhO // ybiV // ltaE // pheA // rapA // gpsA // prc // pgsA // guaA // poxB // puuC // glnD // ndh // yceF // yafE // mnmC // hemG // tktB // metK // pdxI // dpiB // speG // dam // yegX // nudJ // rlmJ // hemW // surA // accA // panE // clpX // hybO // nuoC // pykF // fbaB // nagB // mutY // mfd // nadR // yjiA // prlC // rflP // recA // rnm // yrdD // prmB // nagK // cmoA // dhaR // ycjX // pyrD // cydA // ygiQ // yfgD // hsdR // panC // hyaC // icd // aroB // hemB // arcB // rsmD // glyA // dkgA // pabA // rhlB // plsB // pgi // gyrA // rsxC // lpoA // yheS // clpB // dsbA // gloB // uvrC // metG // tyrB // rsxA // accC // ubiG // clpA // ytfE // dcd // pykA // hscA // gmhA // trmA // glmU // gcd // rlmE // rssA // pdeK // narX // sapD // roxA // proA // pck // pepP // carB // ydiZ // ydgJ // rcsD // glyS // plsY // valS // yniA // pdxA // pepQ // manZ // menA // intD // abpA // aroA // acnA // hemF // potG // aspA // ygiC // hxpB // kdsD // gmhB // ubiE // galU // lipB // ddlA // nadK // ppiD // lysS // tsaB // rbn // yjjU // prkB // mrdA // fumE // groL // menI // wzzB // tyrS // cyuA // ydjA // caiB // cas1 // gshB // lsrK // bisC // ygaP // dnaK // mrp // dcyD // rsmG // yjtD // gshA // yeaD // yfdG // asd // sppA // ampH // dgcP // nuoB // rlmD // rnb // upp // opgG // rsmF // recC // aphA // umpG // amn // ydfG // nadE // hyfA // aspC // nagZ // pinR // pgm // dcp // ftnA // pgk // ppnN // glgB // nagA // bdcA // moeA // ghrA // tpiA // pcnB // pheT // rsmC // serA // yidA // adhE // yadI // waaG // yrfG // ybhK // ychF // cmoM // fabB // ldcC // rsmB // gdhA // hemC // nuoF // pabB // ubiD // dacD // glnS // yaeF // murB // hipH // waaF // ybdK // ybgC // radD // ftsK // manY // patA // hinT // waaC // ycfP // pdxB // gapA // tcyN // arnA // alaA // relA // hslU // pldA // trpS // evgS // arsC // aceB // ydiJ // fumA // lolD // ucpA // bepA // glpK // mazG // opgD // yigL // accD // chbG // yhdH // msrP // thrA // mnmA // kdsB // rluE // umpH // znuC // pinQ // cyaA // yheT // lpxL // yajL // pta // hcxB // gltB // iap // ppx // bfr // cho // ridA // hpt // dacC // dnaJ // amyA // wecA // dsbB // pfkB // nudK // pepD // rlmA // cysS // sdhB // phoQ // sdaA // madA // mutS // otsA // maa // zapE // selO // otsB // dbpA // pepN // nrdG // bglX // sohB // truA // rpoN // epmA // proS
nucleoside phosphate binding	4.1277493e-10	sbcC // hfq // ribF // hrpA // ybeZ // yfbR // cydD // dgcE // hslV // purL // cmk // hdhA // hmp // recQ // mnmE // hflX // gor // srkA // dnaC // yegH // ubiB // rfbB // moaA // ilvI // uvrA // udp // nfsB // creC // folE // gltA // dgcN // macB // pdxH // aroE // leuS // folC // yihA // fadR // ycbZ // aceK // gltX // gnd // sdhA // yeeZ // waaP // ybhF // maeA // gyrB // ileS // ackA // alaS // ldhA // barA // anmK // bipA // dgcJ // folK // fhlA // ghrB // lon // guaB // uvrD // miaA // kefG // hldE // gpmA // betA // htpG // rapA // gpsA // yajQ // guaA // poxB // ndh // mnmC // hemG // metK // dpiB // groS // accA // panE // clpX // nuoC // pykF // mfd // nadR // yjiA // recA // rnm // nagK // dhaR // ycjX // pyrD // hsdR // panC // icd // aroB // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // dcd // pykA // hscA // narX // sapD // proA // hda // pck // carB // ydgJ // rcsD // glyS // valS // yniA // pdxA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // ydjA // gshB // dnaK // mrp // gshA // yfdG // asd // dgcP // upp // recC // umpG // bcsE // nadE // pgk // ppnN // bdcA // ghrA // pcnB // pheT // serA // ychF // gdhA // nuoF // ubiD // glnS // pntB // murB // ybdK // radD // ftsK // ybeX // hinT // recN // sbmA // pdxB // gapA // tcyN // arnA // relA // hslU // trpS // evgS // feoB // ydiJ // lolD // glpK // mazG // accD // thrA // mnmA // cvrA // znuC // cyaA // ppx // hpt // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
binding	4.1277493e-10	ybeD // pflB // lolB // proC // gpmM // sbcC // dctA // gadB // insK // murI // hfq // ribF // nagE // hrpA // speD // ybeZ // grpE // yggE // yfbR // cydD // osmC // dgcE // avtA // seqA // intF // pitA // hslV // purL // cmk // mlc // hdhA // actS // hmp // aceA // fdhD // fabF // dsbG // yecA // katE // yggX // yddM // recQ // slyD // mnmE // ycdX // hspQ // hflX // argT // gor // rna // srkA // dnaC // yegH // ubiB // rpe // mug // rfbB // tdh // bamD // mppA // idi // msrB // hchA // moaA // truC // ilvI // uvrA // polA // udp // nfsB // evgA // creC // ihfA // folE // prmC // gltA // sdhC // htpX // dgcN // opgH // macB // vsr // dsbD // frmA // ybfE // pdxH // aroE // yjgL // crcB // leuS // dmsD // lrp // folC // argF // yeeN // uraA // yihA // ubiC // lrhA // bluR // nfo // yfdH // degP // yqjG // wecB // fadR // ycbZ // serC // aceK // efp // gltX // gnd // uspE // folD // pyrC // rppH // ulaG // sdhA // grcA // yeeZ // queG // yeaK // waaP // ybhF // gstB // nhaR // xseA // maeA // comR // recE // diaA // yieP // pgpA // yahK // kdgR // clsA // hdfR // gyrB // folX // ileS // deoD // clpP // dacB // speA // pqiB // sodA // cytR // pldB // ackA // phoP // araF // alaS // hns // uspA // ldhA // psd // grxD // minC // barA // anmK // bipA // dcuA // exuR // exoX // dgcJ // folK // fhlA // ratA // ghrB // lon // guaB // nhaA // uvrD // miaA // kefG // dcuR // fabA // thyA // bdcR // fbaA // ldtA // hldE // gpmA // betA // trhO // htpG // ybiV // ltaE // pheA // rapA // gpsA // prc // yajQ // guaA // poxB // uvrY // tolQ // glnD // ndh // tolC // metQ // yfhM // mnmC // hemG // tktB // metK // yraN // dpiB // speG // dam // yhgF // yedE // groS // rlmJ // hemW // surA // accA // lolC // panE // mzrA // clpX // hybO // nuoC // pykF // fbaB // nagB // mutY // mfd // ydgA // nadR // yjiA // prlC // rseB // tmaR // rpsT // rflP // recA // srsR // lolE // rnm // yrdD // prmB // nagK // sbmC // cmoA // aaeR // dhaR // ycjX // yebK // letB // exbD // pyrD // cydA // ygiQ // hsdR // panC // hyaC // icd // yacG // aroB // hemB // rraB // rsmD // arcB // glyA // prlF // potD // pabA // yejK // rhlB // ychJ // plsB // pgi // gyrA // rsxC // lpoA // yheS // clpB // rraA // dsbA // gloB // uvrC // metG // tyrB // accC // tus // btuB // ubiG // rssB // clpA // ytfE // dcd // pykA // bolA // hslO // hscA // gmhA // trmA // ybdG // glmU // ytfQ // gcd // pdeK // narX // sapD // ariR // roxA // proA // hda // pck // pepP // hslR // carB // lapB // cutC // gcvA // uspD // ydgJ // rcsD // glyS // yeeY // valS // yniA // pdxA // pepQ // menA // intD // abpA // acnA // hemF // potG // aspA // ygiC // hxpB // kdsD // gmhB // ubiE // galU // lipB // sutR // ddlA // nadK // ppiD // lysS // rbn // tsaB // prkB // mrdA // ompF // groL // trkH // hpf // hisJ // potF // tyrS // ycdY // ydjA // cas1 // gshB // blr // lsrK // bisC // ygaP // dnaK // mrp // dcyD // yjtD // rfaH // gshA // yeaD // yfdG // asd // ampH // dgcP // nuoB // sbp // rlmD // rnb // nagC // opgG // upp // rsmF // secB // ycgZ // recC // iclR // aphA // arcA // umpG // amn // bcsE // lysP // ulaR // ydfG // nadE // hyfA // sra // aspC // cbl // acrA // osmY // pinR // galR // pgm // fur // dcp // nlpE // ybeF // ftnA // pgk // ppnN // glgB // nagA // bdcA // ygaV // moeA // ghrA // tpiA // pcnB // pheT // ybjN // rsmC // pspA // serA // damX // yidA // adhE // yrfG // ybhK // ychF // mlaD // cbpA // fabB // ldcC // rsmB // gdhA // lptA // yggS // nuoF // pabB // ubiD // dacD // glnS // pntB // murB // proX // rcnR // hipH // csrA // zapA // rcsF // lptC // ybdK // ybgC // fepB // radD // ftsK // ybeX // patA // hinT // tolR // recN // waaC // tomB // elaB // rlhA // ycfP // sbmA // ymgA // pdxB // gapA // tcyN // arnA // alaA // relA // yggL // prfA // cnoX // hslU // pldA // trpS // evgS // feoB // ydiJ // fumA // lolD // bepA // ucpA // glpK // sfsA // sgrR // ivy // mazG // opgD // yigL // gadW // yfhL // accD // chbG // yhdH // msrP // tcyJ // thrA // mnmA // dppA // kdsB // rluE // cvrA // umpH // tatA // znuC // pinQ // cyaA // tamB // yajL // pta // ftsX // cysB // gltB // iap // ppx // bfr // cho // acrZ // yjhU // ridA // hpt // dacC // ompX // dnaJ // amyA // yhcB // wecA // dsbB // pfkB // nudK // insN // yobA // rlmA // pepD // cysS // sdhB // phoQ // sdaA // ompR // mutS // maa // zntR // zapE // malT // selO // otsB // dbpA // pepN // nrdG // truA // rpoN // epmA // acpP // proS
nucleotide binding	5.4151195e-10	sbcC // hfq // ribF // hrpA // ybeZ // yfbR // cydD // dgcE // hslV // purL // cmk // hdhA // hmp // recQ // mnmE // hflX // gor // srkA // dnaC // yegH // ubiB // rfbB // moaA // ilvI // uvrA // udp // nfsB // creC // folE // gltA // dgcN // macB // pdxH // aroE // leuS // folC // yihA // ycbZ // aceK // gltX // gnd // sdhA // yeeZ // waaP // ybhF // maeA // gyrB // ileS // ackA // alaS // ldhA // barA // anmK // bipA // dgcJ // folK // fhlA // ghrB // lon // guaB // uvrD // miaA // kefG // hldE // gpmA // betA // htpG // rapA // gpsA // yajQ // guaA // poxB // ndh // mnmC // hemG // metK // dpiB // groS // accA // panE // clpX // nuoC // pykF // mfd // nadR // yjiA // recA // rnm // nagK // dhaR // ycjX // pyrD // hsdR // panC // icd // aroB // arcB // rhlB // gyrA // yheS // clpB // metG // accC // clpA // dcd // pykA // hscA // narX // sapD // proA // hda // pck // carB // ydgJ // rcsD // glyS // valS // yniA // pdxA // potG // ygiC // ddlA // nadK // lysS // prkB // groL // tyrS // ydjA // gshB // dnaK // mrp // gshA // yfdG // asd // dgcP // upp // recC // umpG // bcsE // nadE // pgk // ppnN // bdcA // ghrA // pcnB // pheT // serA // ychF // gdhA // nuoF // ubiD // glnS // pntB // murB // ybdK // radD // ftsK // ybeX // hinT // recN // sbmA // pdxB // gapA // tcyN // arnA // relA // hslU // trpS // evgS // feoB // ydiJ // lolD // glpK // mazG // accD // thrA // mnmA // cvrA // znuC // cyaA // ppx // hpt // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
anion binding	8.1975593e-10	sbcC // gadB // hfq // ribF // hrpA // ybeZ // cydD // dgcE // avtA // hslV // purL // cmk // hmp // recQ // mnmE // hflX // gor // srkA // dnaC // yegH // ubiB // moaA // ilvI // uvrA // udp // nfsB // creC // folE // gltA // dgcN // macB // pdxH // leuS // folC // yihA // fadR // ycbZ // serC // aceK // gltX // gnd // sdhA // yeeZ // waaP // ybhF // gstB // gyrB // ileS // dacB // speA // ackA // alaS // ldhA // barA // anmK // bipA // dgcJ // folK // fhlA // lon // guaB // nhaA // uvrD // miaA // kefG // hldE // gpmA // betA // htpG // ltaE // rapA // yajQ // guaA // poxB // ndh // mnmC // hemG // metK // dpiB // groS // accA // clpX // pykF // mfd // nadR // yjiA // recA // nagK // dhaR // ycjX // pyrD // hsdR // panC // icd // aroB // arcB // glyA // rhlB // gyrA // yheS // clpB // metG // tyrB // accC // ubiG // clpA // pykA // hscA // gcd // narX // sapD // hda // pck // carB // rcsD // glyS // valS // yniA // potG // ygiC // ddlA // nadK // lysS // prkB // mrdA // groL // tyrS // ydjA // gshB // dnaK // mrp // dcyD // gshA // ampH // dgcP // sbp // upp // recC // bcsE // ulaR // nadE // aspC // pgk // ppnN // bdcA // pcnB // pheT // serA // ychF // gdhA // yggS // nuoF // pabB // ubiD // dacD // glnS // murB // ybdK // fepB // radD // ftsK // ybeX // patA // recN // sbmA // tcyN // arnA // relA // alaA // hslU // trpS // evgS // feoB // ydiJ // lolD // glpK // mazG // accD // thrA // mnmA // cvrA // znuC // cyaA // ppx // hpt // dacC // dnaJ // pfkB // cysS // phoQ // mutS // zapE // malT // selO // dbpA // epmA // proS
