(Gene-Ontology-Terms All-Genes Pathways DNA-Segments)	p-values	Matches
response to antibiotic	4.70202e-5	efeO // rplV // rplD // tufB
translation	7.170392e-5	rplV // rplJ // rplD // tufB
cytosolic large ribosomal subunit	8.7004446e-5	rplV // rplJ // rplD
large ribosomal subunit	8.7004446e-5	rplV // rplJ // rplD
ribosome assembly	1.2823477e-4	rplV // rplD
cytoplasmic translation	1.3963462e-4	rplV // rplJ // rplD
structural constituent of ribosome	1.554203e-4	rplJ // rplV // rplD
ribosome	1.7232896e-4	rplJ // rplV // rplD
large ribosomal subunit rRNA binding	1.9550599e-4	rplV // rplJ
RNA binding	2.3212068e-4	rplJ // truB // rplV // rplD // tufB
rplD	2.3436261e-4	rplD // rplV
rRNA binding	2.4085927e-4	rplV // rplJ // rplD
protein metabolic process	3.300864e-4	rplJ // phoR // rplV // rplD // tufB
structural molecule activity	3.3844908e-4	rplJ // rplV // rplD
ribosomal subunit	3.8075983e-4	rplV // rplJ // rplD
ribonucleoprotein complex	4.753568e-4	rplV // rplJ // rplD
intracellular membraneless organelle	7.74992e-4	rplJ // rplV // rplD
intracellular organelle	7.983987e-4	rplJ // rplV // rplD
macromolecule metabolic process	9.934364e-4	mltD // rplJ // truB // phoR // rplV // rplD // tufB
GTPase activity	0.0014163393	tufB // rplJ
translation regulator activity	0.0016187794	tufB // rplD
membraneless organelle	0.0017255478	rplJ // rplV // rplD
organelle	0.0017645087	rplJ // rplV // rplD
membraneless organelle assembly	0.001946873	rplV // rplD
organelle assembly	0.001946873	rplV // rplD
mRNA pseudouridine synthesis	0.0020089287	truB
tRNA pseudouridine(55) synthase activity	0.0020089287	truB
mRNA modification	0.0020089287	truB
RNA-binding transcription regulator activity	0.0020089287	rplD
negative regulation of translation	0.002062711	rplD // rplJ
negative regulation of protein metabolic process	0.00268998	rplD // rplJ
nucleic acid binding	0.0027532505	rplJ // truB // rplV // cspG // rplD // tufB
response to chemical	0.0030881355	efeO // rplV // rplD // tufB
dksA	0.003320052	rplD // rplV // rplJ
response to stimulus	0.0038179967	efeO // phoR // rplV // cspG // rplD // tufB
tRNA folding	0.004014269	truB
PhoRB Two-Component Signal Transduction System, phosphate-dependent	0.004014269	phoR
negative regulation of cytoplasmic translation	0.0060160267	rplD
guanyl-nucleotide exchange factor complex	0.0060160267	tufB
cytosolic ribosome assembly	0.0060160267	rplV
alpA	0.0060160267	phoR
assembly of large subunit precursor of preribosome	0.0060160267	rplV
endoribonuclease inhibitor activity	0.008014208	rplD
ribonuclease inhibitor activity	0.008014208	rplD
nuclease inhibitor activity	0.008014208	rplD
regulation of translation	0.009953328	rplD // rplJ
organelle organization	0.009953328	rplV // rplD
RNA folding	0.010008818	truB
macromolecule biosynthetic process	0.010408023	rplJ // rplV // rplD // tufB
tRNA pseudouridine synthesis	0.011999861	truB
DNA-templated transcription termination	0.011999861	rplD
rplA	0.011999861	rplJ
regulation of cytoplasmic translation	0.011999861	rplD
tRNA pseudouridine synthase activity	0.011999861	truB
organic cyclic compound binding	0.013516291	rplJ // truB // phoR // rplV // cspG // rplD // tufB
molecular function regulator activity	0.013672718	rplD // phoR
