"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.01381100232099,0.507,0.043,0,"6","fimI-4"
0,5.65191493444856,0.332,0.022,0,"6","fimA-4"
0,6.1284671733693,0.252,0.014,0,"6","fimC-5"
0,6.2751007345553,0.1,0.005,0,"6","fimD-2"
4.84236925185754e-13,-0.323264278902034,0.148,0.195,1.05084255134561e-08,"6","pyrG-5"
6.56266023900926e-13,1.47289259537127,0.028,0.015,1.4241628984674e-08,"6","dsbA-2"
4.96803492132165e-12,-0.379598618313384,0.08,0.114,1.07811325827601e-07,"6","ygiS-3"
9.31074312719413e-12,-0.453413584972992,0.055,0.083,2.0205243660324e-07,"6","pspA-1"
7.07671088446718e-11,-0.277363910258722,0.107,0.144,1.53571702903822e-06,"6","yhhQ-4"
1.14084902673995e-10,-0.908754405887422,0.015,0.031,2.47575647292837e-06,"6","phoR-3"
2.25170735360723e-10,-0.316313511188907,0.06,0.088,4.88643012806305e-06,"6","mntH-3"
1.40312266179562e-09,-0.669819996777061,0.021,0.038,3.04491648836267e-05,"6","yebW-2"
2.43333108072789e-09,-0.563359566436576,0.023,0.041,5.28057177828759e-05,"6","guaA-5"
7.14716722321855e-09,-0.293400786797322,0.046,0.068,0.000155100675911066,"6","ompC-3"
1.42528932404945e-08,-0.400176462818497,0.037,0.056,0.000309302036211971,"6","gyrB-3"
1.53484581770544e-08,-0.259614471895178,0.132,0.166,0.000333076890900258,"6","nusG-4"
1.81759522788199e-08,-0.749071723982523,0.023,0.039,0.000394436340402671,"6","phoH-1"
2.69625903278441e-08,-0.287235155210751,0.168,0.203,0.000585115172704544,"6","cspG-3"
6.58094636188495e-08,-0.253553246398465,0.046,0.067,0.00142813116999265,"6","sodB-5"
6.62725497456246e-08,-0.382071758478279,0.018,0.032,0.0014381806020298,"6","yeeY-5"
1.20539711592404e-07,-1.25515202051966,0.006,0.016,0.00261583228126676,"6","hisJ-2"
2.00421411400458e-07,-0.333656404729078,0.036,0.054,0.00434934504880133,"6","tolQ-2"
2.30521546643369e-07,-0.511497017455693,0.023,0.038,0.00500254808370775,"6","pgm-3"
2.32217211777441e-07,-0.234072714324626,0.056,0.078,0.00503934571278225,"6","gcd-2"
2.49643853709161e-07,-0.357606913913895,0.04,0.059,0.0054175212693425,"6","nrdR-2"
2.6800882421224e-07,-0.662463302464523,0.017,0.03,0.00581605949422982,"6","parC-1"
2.73955839634602e-07,-0.329334448168779,0.039,0.057,0.00594511567591051,"6","znuA-2"
3.13560057033475e-07,-0.757063029385689,0.013,0.025,0.00680456679768344,"6","amiB-3"
3.15341936480477e-07,-0.645093803713721,0.014,0.026,0.00684323536356282,"6","phnA-5"
4.62895451473211e-07,-0.529086166849158,0.025,0.039,0.0100452941924201,"6","yhaM-1"
4.8669079562837e-07,-0.455069059919026,0.012,0.023,0.0105616769559312,"6","ptsP-4"
7.23542525788281e-07,-0.321535687594352,0.028,0.043,0.0157015963521315,"6","hemH-3"
7.85447721704052e-07,-0.262070174638534,0.034,0.05,0.0170450010086996,"6","yeeZ-4"
8.09245851927318e-07,-0.165369301433612,0.036,0.053,0.0175614442326747,"6","aroF-1"
8.0965950999253e-07,-0.398289614582878,0.025,0.039,0.0175704210263479,"6","ybfE-3"
8.69173899921303e-07,-0.763133273167087,0.018,0.031,0.0188619428021922,"6","mqsR-4"
9.29657094553677e-07,-0.74573313631158,0.008,0.018,0.0201744886089093,"6","tktB-2"
9.81612109620977e-07,-0.455744753166215,0.02,0.033,0.0213019643908848,"6","ldhA-5"
9.96532181970134e-07,-0.301154016897258,0.024,0.038,0.0216257448809339,"6","fur-1"
9.96618501816362e-07,-0.39706472924804,0.046,0.064,0.0216276181079169,"6","ydcR-2"
1.01404125692718e-06,-0.295521476870441,0.043,0.061,0.0220057093165766,"6","zntA-6"
1.02523839329566e-06,-0.905906606038126,0.008,0.017,0.0222486983729092,"6","gntK-1"
