"Feature","Gene","Probe","Summed_Counts"
"16s-unprocessed","16s","unprocessed",0
"LELOBEKK-04286","LELOBEKK","04286",4
"LELOBEKKtfaE-2","LELOBEKKtfaE","2",0
"MS2-fwd-11","MS2","fwd",4
"YFP-1","YFP","1",0
"aaeA-1","aaeA","1",1134
"aaeB-1","aaeB","1",793
"aaeR-2","aaeR","2",327
"aaeX-4","aaeX","4",69
"aas-5","aas","5",327
"aat-1","aat","1",138
"abgA-1","abgA","1",0
"abgB-5","abgB","5",71
"abgR-2","abgR","2",63
"abgT-4","abgT","4",85
"abrB-1","abrB","1",27
"accA-4","accA","4",1417
"accB-2","accB","2",774
"accC-5","accC","5",2748
"accD-3","accD","3",859
"aceA-5","aceA","5",2854
"aceB-1","aceB","1",2327
"aceE-1","aceE","1",5365
"aceF-5","aceF","5",145
"aceK-5","aceK","5",268
"ackA-4","ackA","4",1584
"acnA-3","acnA","3",1929
"acnB-5","acnB","5",2030
"acpH-4","acpH","4",2
"acpP-1","acpP","1",6745
"acpS-4","acpS","4",99
"acpT-4","acpT","4",10
"acrA-5","acrA","5",899
"acrB-5","acrB","5",1073
"acrD-3","acrD","3",222
"acrE-2","acrE","2",17
"acrF-2","acrF","2",79
"acrR-2","acrR","2",139
"acs-3","acs","3",56
"actP-4","actP","4",39
"ada-1","ada","1",0
"add-1","add","1",17
"ade-5","ade","5",60
"adhE-2","adhE","2",1477
"adhP-1","adhP","1",1398
"adiA-2","adiA","2",88
"adiC-1","adiC","1",35
"adiY-4","adiY","4",37
"adk-1","adk","1",0
"aegA-1","aegA","1",91
"aer-1","aer","1",209
"aes-5","aes","5",229
"afuB-5","afuB","5",243
"afuC-1","afuC","1",0
"agaA-1","agaA","1",0
"agaB-4","agaB","4",30
"agaC-5","agaC","5",20
"agaD-5","agaD","5",47
"agaI-2","agaI","2",48
"agaR-1","agaR","1",58
"agaS-1","agaS","1",0
"agaV-2","agaV","2",40
"agaW-4","agaW","4",23
"agp-1","agp","1",130
"ahpC-5","ahpC","5",13419
"ahpF-1","ahpF","1",4638
"aidB-2","aidB","2",106
"ais-5","ais","5",32
