"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
8.66388026911883e-249,0.79239539062465,0.218,0.089,1.88014865720148e-244,"groL-5"
6.10669418568427e-242,1.36428451737471,0.133,0.037,1.32521370523534e-237,"hslV-1"
1.70606742932689e-219,1.68040278201453,0.098,0.021,3.70233692838227e-215,"yfiD-3"
2.43014612155399e-150,1.51067170141696,0.07,0.016,5.27366009838431e-146,"icdC-3"
8.35234030659971e-148,0.723474624984909,0.126,0.05,1.8125413699352e-143,"pgk-1"
9.52237176241496e-145,0.729415754609734,0.127,0.051,2.06644989616167e-140,"ybeX-4"
1.097481892103e-144,1.6375943836837,0.065,0.014,2.38164545405271e-140,"fxsA-1"
9.34227727356538e-133,0.813085959979597,0.107,0.041,2.02736759113642e-128,"pykF-2"
8.56733868566658e-127,0.56151055133234,0.145,0.067,1.8591981681765e-122,"ybeD-3"
2.86320867977087e-124,0.611198813133244,0.123,0.053,6.21344915597076e-120,"dnaJ-2"
3.25918722380762e-124,0.56346185681976,0.147,0.07,7.07276219438493e-120,"clpX-4"
9.00024791080911e-117,0.713641071447354,0.108,0.045,1.95314379912468e-112,"fimI-4"
2.07038826760676e-111,0.190592799620304,0.237,0.137,4.49294957953342e-107,"purA-5"
1.06472716691403e-110,1.94671752259644,0.04,0.006,2.31056442492014e-106,"fabB-5"
6.72198567016759e-101,0.437298065493232,0.166,0.09,1.45873811028307e-96,"dnaK-4"
3.07642532090863e-96,1.0601837851403,0.059,0.018,6.67615058890382e-92,"nagA-1"
3.55104073661229e-96,0.953518312141944,0.061,0.019,7.70611350252234e-92,"htpG-2"
1.12670554262604e-94,0.589180040450255,0.109,0.051,2.44506369805277e-90,"clpB-5"
4.92556319761859e-94,0.617447627165629,0.095,0.041,1.06889646951521e-89,"sthA-3"
5.32755689416222e-94,0.67979508659152,0.09,0.038,1.15613312160214e-89,"clpP-3"
1.15241706418324e-93,0.394708490201971,0.142,0.075,2.50086027098404e-89,"gapA-3"
1.39383507895266e-88,0.15972500960583,0.261,0.164,3.02476150483518e-84,"ftsH-2"
1.07896326096225e-87,1.12084032554506,0.052,0.015,2.34145817261418e-83,"nagB-3"
2.7830362088492e-87,0.705161231357176,0.072,0.028,6.03946687682365e-83,"hflX-2"
3.39755936387412e-87,0.329936808270778,0.133,0.07,7.37304357554322e-83,"acpP-1"
3.50061114385345e-87,-2.60346053492393,0.01,0.039,7.59667624327636e-83,"mltD-1"
6.91463410743199e-87,1.29301635575549,0.046,0.012,1.50054474765382e-82,"nagC-2"
8.48504851910978e-87,1.14235893500457,0.046,0.012,1.84134037913201e-82,"ycjX-2"
4.20601211277698e-84,1.65877062037849,0.039,0.009,9.12746688593733e-80,"groS-4"
5.64731431568572e-83,1.21230017512304,0.05,0.015,1.22552367964696e-78,"lipB-4"
3.1795098071174e-80,0.134363763389439,0.197,0.119,6.89985423242548e-76,"bipA-2"
3.4059483866986e-80,0.661718945841944,0.08,0.035,7.39124859397463e-76,"hfq-4"
1.35642571816219e-77,0.690481278199596,0.062,0.023,2.94357945098377e-73,"mdoG-4"
9.06218921886476e-76,0.96668338515233,0.047,0.015,1.96658568238584e-71,"hslU-3"
4.81620008282639e-75,0.846979892807652,0.059,0.022,1.04516357997415e-70,"gltA-4"
5.98976000198817e-75,1.55310851251235,0.032,0.006,1.29983781803145e-70,"yeaR-5"
5.53933386051917e-74,0.460223000982521,0.075,0.033,1.20209084107127e-69,"pta-5"
1.60626997298924e-73,0.393042187998623,0.089,0.042,3.48576646838394e-69,"yhaO-1"
1.04512229348057e-72,0.477883359551148,0.093,0.045,2.26801988908219e-68,"ptsI-1"
4.19112586869373e-72,0.995089251510761,0.04,0.011,9.09516224765226e-68,"ldhA-5"
2.78827594442646e-71,0.230160983816791,0.131,0.073,6.05083762699986e-67,"insL-3-4"
1.59272691995902e-70,0.88056024129628,0.054,0.02,3.45637668900307e-66,"azoR-3"
2.04758536021e-69,-1.46218642113599,0.073,0.12,4.44346499019173e-65,"ygiS-3"
2.0757966254084e-69,0.656888747511314,0.064,0.027,4.50468625679876e-65,"lrhA-1"
2.40724428149653e-69,0.460138981263759,0.076,0.034,5.22396081527563e-65,"ycgE-3"
6.70931460973848e-68,1.0016092719195,0.041,0.012,1.45598836345935e-63,"gnd-1"
1.18764620460968e-67,0.766269049965464,0.055,0.021,2.57731102862346e-63,"pflB-3"
2.04746831978089e-67,0.55362506248018,0.068,0.03,4.44321100075651e-63,"rrmJ-4"
2.12759622027184e-67,1.3448853793302,0.033,0.008,4.61709655761193e-63,"bssR-3"
9.42959981212523e-67,0.19720020672076,0.109,0.058,2.0463174552293e-62,"pspA-1"
2.2478234515127e-66,0.959321243888317,0.041,0.013,4.87800167212772e-62,"prlC-1"
2.67724655351156e-66,0.351374535077821,0.084,0.041,5.80989274577543e-62,"gcd-2"
5.89687177960785e-65,0.365614553610644,0.078,0.037,1.2796801448927e-60,"rhlB-2"
1.19690834679991e-64,1.13816885418191,0.037,0.01,2.5974108033905e-60,"serA-5"
1.57995306530444e-63,1.15517586763913,0.038,0.011,3.42865614701717e-59,"adhE-2"
1.72851855976353e-63,0.541648522962427,0.061,0.026,3.75105812654283e-59,"hslR-2"
1.55132491307558e-62,1.08924506323903,0.039,0.012,3.36653019386532e-58,"grpE-4"
3.09820946479236e-62,0.789293323869835,0.047,0.017,6.7234243595459e-58,"yhdN-3"
3.54394690110934e-62,0.716569334118948,0.054,0.022,7.69071917009737e-58,"ybeZ-2"
2.60670372243458e-61,1.40445348197814,0.029,0.007,5.65680774805528e-57,"yoaG-2"
3.37216885596578e-61,0.68139937087986,0.047,0.017,7.31794363433134e-57,"ygaP-2"
5.66213781337885e-61,0.75830905127169,0.051,0.02,1.22874052688134e-56,"yqjC-6"
1.77210673760865e-60,0.83090186151974,0.039,0.013,3.84564883128454e-56,"yqfA-6"
2.21329827055857e-60,0.344666968973494,0.082,0.041,4.80307857693914e-56,"uvrA-4"
2.99832508179453e-60,0.288900526637636,0.101,0.055,6.50666526000231e-56,"ihfA-5"
3.40826062656598e-59,0.472494845774335,0.071,0.034,7.39626638571084e-55,"hupB-4"
8.95851037384644e-58,0.27060845320164,0.073,0.035,1.94408633622842e-53,"clpA-3"
9.79422343023581e-57,0.405519777312377,0.057,0.025,2.12544442659547e-52,"ycbZ-5"
1.04058245317516e-56,0.91522244213366,0.037,0.012,2.25816798163542e-52,"hslJ-2"
1.42602420566956e-56,0.266515085308205,0.077,0.038,3.09461512872352e-52,"valS-4"
2.60065910514322e-56,0.546285028055357,0.063,0.029,5.64369032407131e-52,"fimA-4"
