"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.19125937894234e-287,-0.718150110493399,0.089,0.225,6.92535197824278e-283,"parent","groL-5"
8.48583715711807e-215,-1.12845445394435,0.037,0.123,1.84151152146619e-210,"parent","hslV-1"
3.62378423852803e-213,-0.291393127888045,0.137,0.276,7.86397417602969e-209,"parent","purA-5"
5.37023655081519e-212,-0.746712477540648,0.05,0.143,1.1653950338924e-207,"parent","pgk-1"
1.16311473688659e-198,-1.44973541293426,0.021,0.091,2.52407529051759e-194,"parent","yfiD-3"
1.53511269289042e-179,-1.44474986902201,0.016,0.076,3.33134805484151e-175,"parent","icdC-3"
3.05985128668204e-165,-0.755483045308347,0.041,0.115,6.6401832772287e-161,"parent","pykF-2"
4.41044765204993e-159,-0.612383577709185,0.051,0.128,9.57111244971355e-155,"parent","ybeX-4"
6.93461641614969e-153,-0.674105825466037,0.045,0.117,1.50488110846864e-148,"parent","fimI-4"
2.75246904518826e-138,-1.06542853978258,0.02,0.073,5.97313307496305e-134,"parent","azoR-3"
8.59955474972598e-136,-1.08702959255242,0.018,0.068,1.86618937623803e-131,"parent","nagA-1"
4.21043015927276e-129,-0.140536593506516,0.119,0.217,9.13705448863781e-125,"parent","bipA-2"
8.02683832485487e-129,-0.345091296039615,0.075,0.153,1.74190418487675e-124,"parent","gapA-3"
3.57830588163342e-128,-0.310327897039266,0.07,0.147,7.76528159373268e-124,"parent","acpP-1"
4.01359601993109e-128,-0.594049003960496,0.041,0.104,8.70990472285246e-124,"parent","sthA-3"
5.0922899767903e-125,-0.111496163635154,0.164,0.278,1.10507784786326e-120,"parent","ftsH-2"
1.66362336669539e-123,-1.38203558342855,0.014,0.058,3.61022906806567e-119,"parent","fxsA-1"
5.9024160935818e-123,-0.437552995708993,0.053,0.121,1.28088331646819e-118,"parent","dnaJ-2"
3.92803958554283e-120,-0.385186322067941,0.07,0.143,8.52423870458649e-116,"parent","clpX-4"
8.29838683340924e-120,-1.32408634871289,0.012,0.054,1.80083292671814e-115,"parent","nagC-2"
1.22294907165942e-119,-1.14009208710671,0.015,0.059,2.65392178040812e-115,"parent","nagB-3"
1.68908960111042e-118,-0.428463716802889,0.065,0.136,3.66549334336971e-114,"parent","ibpA-2"
5.96521216671356e-117,-0.384423278842427,0.055,0.121,1.29451069229851e-112,"parent","ihfA-5"
2.42200807269962e-116,-0.367512707578943,0.067,0.138,5.25599971856545e-112,"parent","ybeD-3"
1.57818112004416e-109,-0.422794930630565,0.041,0.097,3.42481084860784e-105,"parent","gcd-2"
