gene,avg_log2FC,negLog10P
aroF-1,2.373881763,300
copA-2,1.877844597,300
yhhW-1,1.001869581,300
purA-5,0.559203744,300
azoR-3,1.51278227,271.3816157
pgk-1,0.814764052,262.4804333
tyrA-4,2.392860539,239.6897165
katG-5,0.488776794,238.2968711
ibpA-2,0.749127592,227.5531731
aroM-4,1.512124293,225.9964774
yhhQ-4,0.344169635,221.9540141
groL-5,0.467262885,209.0195528
ihfA-5,0.63980688,201.6727539
arcA-2,0.900205582,198.876837
guaB-2,0.224975478,191.8783868
clpA-3,0.73606717,191.3837086
icdC-3,1.224963235,186.0936745
nagA-1,1.165276453,180.9647236
hemH-3,1.053196821,179.7479152
glpR-5,0.60612358,179.6145094
glpD-2,0.199867241,177.9229118
prfA-1,0.201282082,176.2086414
yeaQ-5,1.687291399,166.0073545
bipA-2,0.15903947,161.8781818
uvrA-4,0.588233821,160.1346005
nagC-2,1.414142252,159.7650122
gcd-2,0.619397222,159.1431443
sodB-5,0.59247972,158.6152246
fimI-4,0.547571564,155.3645775
pykF-2,0.565934875,154.8896747
nagB-3,1.196783524,151.1748989
acpP-1,0.249390961,147.9013062
ybjL-1,0.215376718,146.6090119
pcnB-3,0.480742596,146.1403426
trxC-5,0.684949697,145.1102323
acnA-3,1.130116785,143.7465949
sthA-3,0.520935199,139.0513279
sdhC-5,0.909288307,137.1812319
yfiQ-1,0.874084952,135.586358
yebW-2,0.772997988,131.8006768
gapA-3,0.183830063,130.2346855
yhaK-1,1.814265731,130.1803347
pdxH-2,0.708793777,128.9105232
aceA-5,0.698457051,126.1244758
aceB-1,0.835568582,125.4607667
rhlB-2,0.40181436,125.1152484
galS-2,1.053072735,124.5580033
yeaR-5,1.734801523,124.5532604
valS-4,0.387083157,123.2814203
ycbZ-5,0.539569445,120.5666298
yeeZ-4,0.689030091,120.2289583
cydB-2,0.775570966,119.5665435
yqjC-6,0.798211935,117.1821309
gltA-4,0.815590675,114.5576869
puuD-1,0.155571358,114.0882789
sdhA-2,1.298684236,111.3644907
gntR-5,1.088990312,110.246601
yebV-5,0.988984959,107.5003655
uvrB-5,0.590528398,106.8291701
speA-4,0.517858749,105.4952399
yqjF-4,1.807204059,104.3532919
cysK-4,1.121210144,103.6033754
crr-1,0.248804628,103.3373784
yfiP-4,0.834388019,102.3145898
ybeX-4,0.186905049,102.0974361
cfa-5,0.480148162,100.9239477
frmB-1,1.525410827,100.5580078
betT-1,0.678100028,100.3967447
yjgI-4,0.372885568,100.0748718
sufB-3,0.49055069,98.74031047
ldhA-5,0.845179765,96.64031243
cueO-5,1.18497229,95.88832911
gss-1,1.178874122,93.74001602
ptsI-1,0.203569488,91.85672084
bssS-1,0.943398984,91.71865446
bssR-3,1.26027248,90.78833911
yhaV-1,0.200305689,90.62857646
yoaG-2,1.42289015,90.04428013
cyaA-4,0.810918921,89.69072744
gltB-3,0.814982837,89.15331129
pflB-3,0.593278454,89.08475217
yccJ-2,1.719634735,88.53118005
talB-5,0.133897923,87.38322177
rpoB-1,-0.161010621,87.26850454
tolQ-2,0.273854125,87.18485412
cyoB-5,0.114542265,86.32393823
nuoC-2,0.688019134,85.25931699
fbaB-1,1.060514057,85.13491678
leuS-3,0.237891967,85.07625198
gapC-4,0.708653907,83.97892372
gor-5,0.809848733,82.14120987
yeeY-5,0.672031644,81.96236919
fimA-4,0.409265849,81.26319564
trxB-1,0.416573401,80.75631781
insH-1-1,0.115101719,80.69299649
puuC-5,0.661392506,79.90314862
yejG-5,0.445254673,79.8969539
rne-5,0.390691819,78.64979971
uspE-1,0.251755865,78.08795476
tktB-2,1.286443718,77.91705978
ybeZ-2,0.453075071,77.81111794
pheT-2,0.510717312,77.75579603
moaA-4,0.410004107,77.44512275
cysB-5,0.19638658,77.38622158
rssA-4,0.798602316,77.30482265
frmA-3,1.299075389,77.11347828
prsA-1,0.4558523,76.66609645
gsk-2,0.654439773,76.41581778
fadE-1,0.25360069,76.37936637
clpB-5,0.107394071,75.56453552
rpsE-2,-0.181619802,75.17840733
ybiP-1,0.321786412,74.89472663
insE-4-3,0.354379289,74.58193569
rplT-4,-0.186164571,74.13604645
gntT-4,1.208641633,73.77597138
serA-5,0.853574887,72.76317061
iscR-2,-0.179592251,72.35753469
pepP-5,0.271459608,72.13205523
yecJ-2,0.993163035,72.1080527
ygaP-2,0.503241069,72.06516154
def-2,0.158948699,71.49101854
gmk-3,0.249995998,71.32600621
rrmJ-4,0.296610615,71.08834864
icd-4,0.301575282,70.27378577
surA-5,0.512317652,70.08922934
yohL-6,1.408561298,69.87875176
hemB-5,0.384168095,69.74943999
yfiD-3,0.37864278,69.72400635
ybhF-5,1.880991859,68.98618702
ygjG-1,1.286300777,68.8820454
mreC-2,0.20185426,68.81171622
nagE-4,1.094115276,68.12705002
aroP-2,2.419121399,68.08728149
guaA-5,0.233327673,67.94002571
fimC-5,0.501623244,67.87459072
gntU-4,1.031161893,67.60365303
maa-2,0.493040231,67.47843811
pepN-1,0.583703484,67.40371623
murI-2,0.549722127,67.32551618
psd-1,0.341481071,67.25883291
deoD-1,0.86737802,67.22715778
yciM-2,0.368858007,67.09268011
ybfE-3,0.352982913,66.58800404
sdhB-3,1.038685992,65.98722707
rpoA-2,-0.153089046,65.98205721
phoQ-3,0.607415527,65.8953981
hslR-2,0.217812239,65.74911169
yqjG-5,1.087661043,65.5197817
ygaW-3,0.514575243,65.1730085
yohC-6,1.232195986,64.73624084
aspS-5,0.201316902,64.49641582
hflX-2,0.244787043,64.41898707
gcvA-4,0.561371158,64.0695511
yjgX-16,0.213983151,63.96910677
cyoA-5,-0.140121794,63.88814027
pepD-1,0.56769724,63.70237375
sodA-1,0.543920895,63.50136708
yaiA-4,1.177974293,63.4604843
yidC-1,-0.202538828,62.95794667
ubiD-2,0.600411967,62.91083093
era-3,0.327045467,62.86644304
fur-1,0.461006642,62.70776656
phr-3,1.204064501,62.5576584
gpmA-2,0.211698203,62.36781925
yjgK-4,0.432672792,62.22776132
nuoA-3,0.704712609,62.167265
yeaP-4,0.388866039,62.12266474
yggJ-1,0.536644317,61.914303
ygdH-4,0.884361077,61.57050417
exuR-5,0.167676776,61.53597686
yfbQ-3,0.768680422,61.33379713
dnaA-3,-0.29290296,61.21269863
fbaA-4,0.447433931,61.15088218
avtA-2,0.607393124,60.8177745
fhuA-4,0.176972773,60.05518
aspC-1,0.404244236,59.20808476
yjeS-3,0.540965974,58.59024071
aroB-2,0.410128626,58.58321267
katE-2,0.901103319,58.51018735
prlC-1,0.431420227,58.288156
rfe-4,0.235426199,58.1501865
tyrS-1,0.398334053,58.14021098
fliY-3,0.800321833,58.13694241
aaeA-1,0.655488142,57.7191706
damX-5,0.178608725,57.70179529
ybgA-3,1.517566813,57.34880962
nagZ-1,0.996442371,57.16831971
ybhG-1,1.527207391,56.12836478
pyrC-5,0.639317049,56.0136321
gpp-1,0.806754086,55.9999526
rpsA-3,-0.236190577,55.95149819
hepA-1,0.420471239,55.89412982
asnB-5,0.890080365,55.8411809
metG-4,0.310762156,55.6523826
yaaA-3,0.95572232,55.62595777
ycgB-2,1.167521294,55.55114858
adhE-2,0.682366305,55.52719935
rpsT-2,0.564191466,55.42355161
gntK-1,0.719149279,54.66839054
dnaG-2,-0.274953963,54.65039622
ydjN-2,0.608282502,54.54919433
fabA-4,0.477567834,54.53780884
folE-2,0.511549341,54.53512782
ychQ-5,0.105269602,54.42882637
mdtG-5,0.60011221,54.29108859
artM-5,1.6977573,54.03862809
yieG-4,0.59624986,54.01907822
yeaG-2,0.918173767,53.75995762
ycfH-2,0.370172492,53.75414037
ompC-3,-0.138628262,53.5059463
ycfD-3,0.69017013,53.33578052
nlpE-5,0.701498023,52.99969817
hspQ-4,0.572196314,52.96971154
ygiD-1,1.196923753,52.83475519
trkA-1,0.862325144,52.70395707
hns-2,-0.170215148,52.60795239
gshB-5,0.808370647,52.15634786
acnB-5,0.276677651,52.0657237
sfcA-5,0.503242224,52.03765981
yiaF-3,0.724607522,51.9110259
lolD-3,0.427554953,51.54040706
serC-2,0.46864507,51.50394112
nusG-4,-0.354271196,51.39505697
mrp-3,0.635508708,51.1715868
ispE-5,0.671392938,51.06771559
pgi-2,1.039189857,51.02429882
uvrC-4,0.80975382,50.69465455
yadR-1,0.199213136,50.65208076
yfgA-3,0.146448046,50.5251632
msrB-2,0.330674494,50.48413573
ffh-5,-0.20296626,50.42677782
yeaC-1,0.229132107,50.3787403
epd-5,0.709028637,50.36334463
lrhA-1,0.150508448,50.35795708
yhjY-4,1.381542563,50.17861079
rplR-2,-0.321822447,50.14863318
dnaJ-2,-0.267544459,49.92642885
talA-5,0.907847591,49.67304066
alaS-2,-0.190672739,49.55061739
rnb-1,0.424084718,49.3289836
betA-5,0.683780089,49.13386649
yafD-3,0.434721068,48.7302785
hrpA-5,0.738091,48.61736157
yohM-6,1.16847923,48.2822114
yeaH-4,1.013568681,48.18072291
rsxC-5,0.414362618,48.15599369
dnaK-4,-0.277387425,48.06091289
yjgQ-2,0.11472337,47.84605373
yjgJ-3,0.584205318,47.829456
rcsB-4,0.270637974,47.73422421
yqfA-6,0.442085086,47.67938599
ptsP-4,0.521587846,47.44511956
ycdZ-4,0.449841382,47.23969411
tolC-1,0.363209475,46.97476629
prmC-3,0.487478931,46.95363146
ygdE-4,0.1261409,46.87578192
mioC-3,-0.170358261,46.38645168
thiI-2,0.105796642,46.30817154
ycfP-1,1.063348947,46.21185905
uidR-4,0.79363164,46.13432463
yafK-3,-0.320617232,46.09544246
apaG-5,0.802974581,45.97791558
ycbK-2,-0.345601261,45.71452397
yghB-2,0.725449153,45.64114957
eno-2,-0.313939829,45.51092953
tyrP-1,1.164983577,45.50714483
ygfA-2,0.381476744,45.34536758
ftsK-5,0.210822355,45.06399638
proA-3,0.455802441,44.94189518
ribF-3,0.566163204,44.54264763
pgm-3,0.111141975,44.47547692
rpoN-3,0.236662301,44.21890097
ychA-4,-0.2970745,44.11469555
rsgA-5,0.119495435,44.03491304
hemC-4,0.738377564,44.01247777
kgtP-4,-0.359667324,43.90434865
artI-3,2.085057469,43.88668533
dnaC-4,0.355048955,43.7418128
yheO-4,0.273994559,43.63695301
ydaN-1,0.644350028,43.58337215
grxA-4,0.247958503,43.47380138
cpxA-5,0.533361428,43.17367191
exbB-5,-0.116124854,42.83929728
yccA-2,0.157255345,42.5871125
sohA-3,0.143909174,42.53182767
ygaZ-1,0.920006662,42.44647567
yrdB-1,0.552328,42.3325868
yheM-1,0.707431479,42.25572837
fimD-2,1.034875189,42.1754701
nlpD-4,-0.284983589,42.17074359
yrbD-6,0.461954631,42.02924185
ydfH-5,0.270532959,41.97001142
ndh-5,0.404889439,41.84241167
zntA-6,-0.183225473,41.71539088
sufD-2,-0.128150967,41.65943766
fruA-4,0.713817975,41.61979891
clpX-4,-0.345919042,41.45769264
nhaA-1,0.864737355,41.39967775
accA-4,0.256800953,41.33935606
hybO-4,0.430376142,41.15439266
fecI-5,0.651596979,41.03130948
glpF-5,0.398035163,40.98500609
yhbN-4,0.608808775,40.91804857
mglB-1,0.355290985,40.86989898
fabB-5,0.59608834,40.85883616
marR-3,-0.386666341,40.78055035
ycjX-2,0.281211575,40.77472661
ptsG-5,1.057455912,40.72485872
cho-3,0.976174955,40.59997464
yedQ-3,0.442727569,40.37499923
yajQ-2,0.636401329,40.34055991
fdhD-4,0.815662704,40.33395503
