cluster,sample,Freq,percent_within_cluster
1,parent,6284,67.31655061596143
2,parent,4955,70.44355985214672
3,parent,1552,25.832223701731028
4,parent,410,6.845884120888296
5,parent,1110,21.798900235663787
6,parent,1285,25.87074692973626
7,parent,1196,24.108042733319895
8,parent,1527,50.032765399737876
9,parent,282,11.533742331288344
1,4,22,0.23567220139260847
2,4,233,3.3124822291725904
3,4,237,3.9447403462050596
4,4,772,12.89029888128235
5,4,862,16.92851531814611
6,4,856,17.233742701832092
7,4,2346,47.28885305381979
8,4,433,14.187418086500655
9,4,1767,72.26993865030676
1,7,3029,32.44777718264595
2,7,1846,26.243957918680692
3,7,4219,70.22303595206392
4,7,4807,80.26381699782935
5,7,3120,61.2725844461901
6,7,2826,56.895510368431644
7,7,1419,28.60310421286031
8,7,1092,35.77981651376147
9,7,396,16.19631901840491
