p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,shared_status,neg_log10_p_adj,culture,color
0.0,0.559203744306604,0.393,0.137,0.0,purA-5,NS,304.0,4,.7
0.0,2.37388176261145,0.225,0.022,0.0,aroF-1,Unique,304.0,4,.7
0.0,1.00186958082774,0.223,0.056,0.0,yhhW-1,Unique,304.0,4,.7
0.0,1.87784459727587,0.147,0.019,0.0,copA-2,Unique,304.0,4,.7
1.9138352848340798e-276,1.51278226970145,0.128,0.02,4.15321395161844e-272,azoR-3,Shared,271.3816156957589,4,#2369a0
1.52435804669811e-267,0.814764052041158,0.193,0.05,3.30800939713957e-263,pgk-1,Shared,262.48043326540727,4,#2369a0
9.4146403738664e-245,2.3928605388836,0.09,0.009,2.04307110753275e-240,tyrA-4,Unique,239.68971651781607,4,.7
1.2892796394083699e-232,0.749127592141467,0.211,0.065,2.79786574548011e-228,ibpA-2,Unique,227.55317312879916,4,.7
4.64561127265567e-231,1.51212429295877,0.107,0.016,1.00814410227901e-226,aroM-4,Unique,225.99647738619242,4,.7
9.78963172193726e-207,0.639806879973711,0.181,0.055,2.1244479799776e-202,ihfA-5,Unique,201.67275389874027,4,.7
6.1190392561017495e-204,0.900205582259899,0.139,0.034,1.32789270896664e-199,arcA-2,Unique,198.87683701366237,4,.7
1.90463442950467e-196,0.736067169770428,0.139,0.035,4.13324717546808e-192,clpA-3,Unique,191.38370862236602,4,.7
3.71403266254148e-191,1.22496323510332,0.094,0.016,8.05982228098127e-187,icdC-3,Shared,186.0936745342793,4,#2369a0
4.99800507153889e-186,1.16527645285663,0.097,0.018,1.08461708057465e-181,nagA-1,Shared,180.96472356056725,4,#2369a0
8.233889787864629e-185,1.05319682135787,0.111,0.024,1.7868364228645e-180,hemH-3,Unique,179.7479152034535,4,.7
1.1194658358428299e-184,0.606123579513673,0.166,0.051,2.42935281036252e-180,glpR-5,Unique,179.61450940883964,4,.7
4.53070483497865e-171,1.68729139888997,0.072,0.009,9.832082562387171e-167,yeaQ-5,Shared,166.00735448322996,4,#2369a0
3.38002341006086e-165,0.588233821260709,0.139,0.041,7.33498880217306e-161,uvrA-4,NS,160.13460054482795,4,.7
7.91604166137604e-165,1.41414225160066,0.077,0.012,1.7178602009352198e-160,nagC-2,Shared,159.76501218185098,4,#2369a0
3.31417927389461e-164,0.619397222384219,0.139,0.041,7.192100442278679e-160,gcd-2,Unique,159.1431442560325,4,.7
1.11762394261996e-163,0.592479719823457,0.138,0.041,2.42535571787958e-159,sodB-5,NS,158.61522455603793,4,.7
1.9904107647634e-160,0.54757156370115,0.145,0.045,4.31939040061306e-156,fimI-4,NS,155.36457754122466,4,.7
5.94080874308254e-160,0.565934875489602,0.138,0.041,1.28921490533634e-155,pykF-2,NS,154.8896746820087,4,.7
3.08050105338e-156,1.19678352420488,0.082,0.015,6.6849953359399404e-152,nagB-3,Shared,151.17489889140518,4,#2369a0
3.57509814724286e-150,0.684949697413549,0.117,0.032,7.75832048933174e-146,trxC-5,Unique,145.1102322840459,4,.7
8.258958885422921e-149,1.130116784975,0.081,0.016,1.79227666772563e-144,acnA-3,Shared,143.74659494891938,4,#2369a0
4.09441963880818e-144,0.520935199143592,0.132,0.041,8.88530005817763e-140,sthA-3,NS,139.05132790140843,4,.7
3.0359060567767e-142,0.909288307122837,0.089,0.02,6.58821973381112e-138,sdhC-5,Unique,137.18123192444003,4,.7
1.1944341745104e-140,0.874084951697287,0.09,0.021,2.59204160210503e-136,yfiQ-1,Unique,135.58635803234634,4,.7
