Name,Time,n_records,n_observed,n_zero,n_missing,median,median_lower,median_upper,mad_scaled,mad_scaled_min,mad_scaled_max,median_workbook,mad_scaled_workbook,note
P1,0,6,6,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
P1,1,6,6,0,0,3.349031920460493e-05,3.349031920460493e-05,3.349031920460493e-05,2.090849282507901e-05,2.090849282507901e-05,2.090849282507901e-05,3.349031920460493e-05,2.090849282507901e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
P1,2,6,6,0,0,1.1248966087675766e-06,1.1248966087675766e-06,1.1248966087675766e-06,2.923328638795196e-07,2.923328638795196e-07,2.923328638795196e-07,1.1248966087675766e-06,2.923328638795196e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
P1,3,6,6,0,0,3.3673469387755107e-07,3.3673469387755107e-07,3.3673469387755107e-07,4.580602092321731e-08,4.580602092321731e-08,4.580602092321731e-08,3.3673469387755107e-07,4.580602092321731e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
P1,5,6,6,0,0,4.081632653061225e-08,4.081632653061225e-08,4.081632653061225e-08,1.1249467382695564e-08,1.1249467382695564e-08,1.1249467382695564e-08,4.081632653061225e-08,1.1249467382695564e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
P1,7,6,6,0,0,5.102040816326531e-08,5.102040816326531e-08,5.102040816326531e-08,2.3662151382502456e-08,2.3662151382502456e-08,2.3662151382502456e-08,5.102040816326531e-08,2.3662151382502456e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC1,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC1,1,3,3,0,0,7.5e-05,7.5e-05,7.5e-05,2.7961357629710902e-05,2.7961357629710902e-05,2.7961357629710902e-05,7.5e-05,2.7961357629710902e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC1,2,3,3,0,0,1.0701754385964912e-05,1.0701754385964912e-05,1.0701754385964912e-05,2.662018785968117e-06,2.662018785968117e-06,2.662018785968117e-06,1.0701754385964912e-05,2.662018785968117e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC1,3,3,3,0,0,6.140350877192982e-06,6.140350877192982e-06,6.140350877192982e-06,3.007471605521223e-07,3.007471605521223e-07,3.007471605521223e-07,6.140350877192982e-06,3.007471605521223e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC1,5,3,3,0,0,2.96875e-06,2.96875e-06,2.96875e-06,7.599962030168522e-07,7.599962030168522e-07,7.599962030168522e-07,2.96875e-06,7.599962030168522e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC1,7,3,3,0,0,1.5789473684210526e-06,1.5789473684210526e-06,1.5789473684210526e-06,2.4384904909631427e-08,2.4384904909631427e-08,2.4384904909631427e-08,1.5789473684210526e-06,2.4384904909631427e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC10,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
