Name,Time,n_records,n_observed,n_missing,median,mad_scaled,median_workbook,mad_scaled_workbook,note
P1,0,6,6,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
P1,1,6,6,0,5.8680555555555566e-05,8.236678991697784e-06,5.8680555555555566e-05,8.236678991697784e-06,Observed-only summary is conditional where counts are missing
P1,2,6,6,0,1.5311355311355315e-06,1.731399706180648e-07,1.5311355311355315e-06,1.731399706180648e-07,Observed-only summary is conditional where counts are missing
P1,3,6,5,1,5.000000000000001e-07,8.236678991697786e-08,4.807692307692308e-07,1.1840226050565571e-07,Observed-only summary is conditional where counts are missing
P1,5,6,6,0,1.2770833333333336e-07,1.4708355342317476e-08,1.2770833333333336e-07,1.4708355342317476e-08,Observed-only summary is conditional where counts are missing
P1,7,6,5,1,8.333333333333335e-08,2.471003697509337e-08,7.500000000000002e-08,4.0985397867342366e-08,Observed-only summary is conditional where counts are missing
PLAC1,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC1,1,3,3,0,0.006153846153846155,0.0028147603493723387,0.006153846153846155,0.0028147603493723387,Observed-only summary is conditional where counts are missing
PLAC1,2,3,3,0,0.0016410256410256414,0.0005915202697422347,0.0016410256410256414,0.0005915202697422347,Observed-only summary is conditional where counts are missing
PLAC1,3,3,3,0,0.000258974358974359,8.112656983966823e-05,0.000258974358974359,8.112656983966823e-05,Observed-only summary is conditional where counts are missing
PLAC1,5,3,3,0,8.461538461538463e-05,1.504440876388663e-05,8.461538461538463e-05,1.504440876388663e-05,Observed-only summary is conditional where counts are missing
PLAC1,7,3,3,0,5.641025641025642e-05,3.0007933609687866e-05,5.641025641025642e-05,3.0007933609687866e-05,Observed-only summary is conditional where counts are missing
PLAC10,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC10,1,3,3,0,0.0011351351351351353,0.00010469989511678632,0.0011351351351351353,0.00010469989511678632,Observed-only summary is conditional where counts are missing
