Name,Time,n_records,n_observed,n_zero,n_missing,median,median_lower,median_upper,mad_scaled,mad_scaled_min,mad_scaled_max,median_workbook,mad_scaled_workbook,note
fimE,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
fimE,1,3,3,0,0,0.00046341463414634155,0.00046341463414634155,0.00046341463414634155,2.2011061568481866e-05,2.2011061568481866e-05,2.2011061568481866e-05,0.00046341463414634155,2.2011061568481866e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
fimE,2,3,3,0,0,2.0454545454545457e-05,2.0454545454545457e-05,2.0454545454545457e-05,2.6077390799802107e-06,2.6077390799802107e-06,2.6077390799802107e-06,2.0454545454545457e-05,2.6077390799802107e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
fimE,3,3,3,0,0,7.173913043478262e-06,7.173913043478262e-06,7.173913043478262e-06,1.2013180031369508e-06,1.2013180031369508e-06,1.2013180031369508e-06,7.173913043478262e-06,1.2013180031369508e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
fimE,5,3,3,0,0,1.4090909090909092e-06,1.4090909090909092e-06,1.4090909090909092e-06,9.083136121279374e-08,9.083136121279374e-08,9.083136121279374e-08,1.4090909090909092e-06,9.083136121279374e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
fimE,7,3,3,0,0,5.000000000000001e-07,5.000000000000001e-07,5.000000000000001e-07,5.424154457947326e-08,5.424154457947326e-08,5.424154457947326e-08,5.000000000000001e-07,5.424154457947326e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ftsh,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ftsh,1,3,3,0,0,0.0002,0.0002,0.0002,1.4826022185056018e-05,1.4826022185056018e-05,1.4826022185056018e-05,0.0002,1.4826022185056018e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ftsh,2,3,3,0,0,1.66e-05,1.66e-05,1.66e-05,2.0870477383578827e-06,2.0870477383578827e-06,2.0870477383578827e-06,1.66e-05,2.0870477383578827e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ftsh,3,3,3,0,0,7.234042553191491e-06,7.234042553191491e-06,7.234042553191491e-06,1.0919328941530549e-07,1.0919328941530549e-07,1.0919328941530549e-07,7.234042553191491e-06,1.0919328941530549e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ftsh,5,3,3,0,0,8.000000000000001e-07,8.000000000000001e-07,8.000000000000001e-07,5.047156488529711e-08,5.047156488529711e-08,5.047156488529711e-08,8.000000000000001e-07,5.047156488529711e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
ftsh,7,3,3,0,0,2.307692307692308e-07,2.307692307692308e-07,2.307692307692308e-07,1.8441533323473937e-07,1.8441533323473937e-07,1.8441533323473937e-07,2.307692307692308e-07,1.8441533323473937e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
gata,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
gata,1,3,3,0,0,0.0002466666666666667,0.0002466666666666667,0.0002466666666666667,1.553202324148733e-05,1.553202324148733e-05,1.553202324148733e-05,0.0002466666666666667,1.553202324148733e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
gata,2,3,3,0,0,2.288888888888889e-05,2.288888888888889e-05,2.288888888888889e-05,2.0709364321983005e-06,2.0709364321983005e-06,2.0709364321983005e-06,2.288888888888889e-05,2.0709364321983005e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
gata,3,3,3,0,0,1.1666666666666668e-05,1.1666666666666668e-05,1.1666666666666668e-05,3.326351131262568e-06,3.326351131262568e-06,3.326351131262568e-06,1.1666666666666668e-05,3.326351131262568e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
gata,5,3,3,0,0,1.0714285714285716e-06,1.0714285714285716e-06,1.0714285714285716e-06,2.7063373829864173e-07,2.7063373829864173e-07,2.7063373829864173e-07,1.0714285714285716e-06,2.7063373829864173e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
gata,7,3,3,0,0,5.192307692307693e-07,5.192307692307693e-07,5.192307692307693e-07,1.1087837104208568e-07,1.1087837104208568e-07,1.1087837104208568e-07,5.192307692307693e-07,1.1087837104208568e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
glvc,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
glvc,1,3,3,0,0,0.00019122807017543859,0.00019122807017543859,0.00019122807017543859,8.95919469272391e-06,8.95919469272391e-06,8.95919469272391e-06,0.00019122807017543859,8.95919469272391e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
glvc,2,3,3,0,0,4.6296296296296294e-05,4.6296296296296294e-05,4.6296296296296294e-05,3.6125785051306106e-06,3.6125785051306106e-06,3.6125785051306106e-06,4.6296296296296294e-05,3.6125785051306106e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
glvc,3,3,3,0,0,8.421052631578947e-06,8.421052631578947e-06,8.421052631578947e-06,1.300528261847001e-07,1.300528261847001e-07,1.300528261847001e-07,8.421052631578947e-06,1.300528261847001e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
glvc,5,3,3,0,0,1.368421052631579e-06,1.368421052631579e-06,1.368421052631579e-06,1.3438792039085848e-07,1.3438792039085848e-07,1.3438792039085848e-07,1.368421052631579e-06,1.3438792039085848e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
glvc,7,3,3,0,0,9.074074074074075e-07,9.074074074074075e-07,9.074074074074075e-07,2.1964477311194086e-07,2.1964477311194086e-07,2.1964477311194086e-07,9.074074074074075e-07,2.1964477311194086e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
hipa,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
hipa,1,3,3,0,0,0.001232558139534884,0.001232558139534884,0.001232558139534884,8.533582536747362e-05,8.533582536747362e-05,8.533582536747362e-05,0.001232558139534884,8.533582536747362e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
hipa,2,3,3,0,0,0.00017250000000000002,0.00017250000000000002,0.00017250000000000002,3.508250598440581e-05,3.508250598440581e-05,3.508250598440581e-05,0.00017250000000000002,3.508250598440581e-05,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
hipa,3,3,3,0,0,8.372093023255816e-05,8.372093023255816e-05,8.372093023255816e-05,5.516659417695278e-06,5.516659417695278e-06,5.516659417695278e-06,8.372093023255816e-05,5.516659417695278e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
hipa,5,3,3,0,0,1.6279069767441862e-05,1.6279069767441862e-05,1.6279069767441862e-05,4.309890170074389e-08,4.309890170074389e-08,4.309890170074389e-08,1.6279069767441862e-05,4.309890170074389e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
