Day,Tube,Strain,Culture,Name,Replicate,Time,Count,Dilution,Factor,CFU,TimeZero,Fraction,source_excel_row,count_effective,dilution_effective,factor_effective,clarification,possible_handling_failure,count_status,fraction_workbook,fraction_observed,included_in_original_panel,replicate_original,cfu_formula,formula_volume_mL,below_detection,detection_limit,fraction_lower,fraction_upper,fraction_plot,record_note,source_workbook,figure
1,1,wt,1,wt,1,0,27,5,1e-05,135000000.0,135000000.0,1.0,2,27,5,1e-05,,False,measured,1.0,1.0,True,1,=H2/(J2*0.02),0.02,False,0.037037037037037035,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,2,wt,2,wt,2,0,25,5,1e-05,124999999.99999999,124999999.99999999,1.0,3,25,5,1e-05,,False,measured,1.0,1.0,True,2,=H3/(J3*0.02),0.020000000000000004,False,0.039999999999999994,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,3,wt,3,wt,3,0,28,5,1e-05,140000000.0,140000000.0,1.0,4,28,5,1e-05,,False,measured,1.0,1.0,True,3,=H4/(J4*0.02),0.02,False,0.03571428571428571,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,4,prs,1,prs,1,0,11,5,1e-05,54999999.99999999,54999999.99999999,1.0,5,11,5,1e-05,,False,measured,1.0,1.0,True,1,=H5/(J5*0.02),0.020000000000000004,False,0.0909090909090909,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,5,prs,2,prs,2,0,20,5,1e-05,99999999.99999999,99999999.99999999,1.0,6,20,5,1e-05,,False,measured,1.0,1.0,True,2,=H6/(J6*0.02),0.02,False,0.05,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,6,prs,3,prs,3,0,17,5,1e-05,85000000.0,85000000.0,1.0,7,17,5,1e-05,,False,measured,1.0,1.0,True,3,=H7/(J7*0.02),0.019999999999999997,False,0.058823529411764705,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,7,hipa,1,hipa,1,0,35,5,1e-05,174999999.99999997,174999999.99999997,1.0,8,35,5,1e-05,,False,measured,1.0,1.0,True,1,=H8/(J8*0.02),0.02,False,0.02857142857142857,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,8,hipa,2,hipa,2,0,29,5,1e-05,145000000.0,145000000.0,1.0,9,29,5,1e-05,,False,measured,1.0,1.0,True,2,=H9/(J9*0.02),0.019999999999999997,False,0.034482758620689655,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,9,hipa,3,hipa,3,0,37,5,1e-05,184999999.99999997,184999999.99999997,1.0,10,37,5,1e-05,,False,measured,1.0,1.0,True,3,=H10/(J10*0.02),0.02,False,0.02702702702702703,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
1,10,pc,1,pc,1,0,23,5,1e-05,114999999.99999999,114999999.99999999,1.0,11,23,5,1e-05,,False,measured,1.0,1.0,True,1,=H11/(J11*0.02),0.020000000000000004,False,0.04347826086956521,1.0,1.0,1.0,,working/figures/Supplemental Figure 10 - mutant prs and other/D - prs_hipA mdk/MDK_prs_mutant.xlsx,Supplementary Figure 10
