Name,Time,n_records,n_observed,n_missing,median,mad_scaled,median_workbook,mad_scaled_workbook,note
hipa,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
hipa,1,3,3,0,0.00019428571428571433,1.5570185460753846e-05,0.00019428571428571433,1.5570185460753846e-05,Observed-only summary is conditional where counts are missing
hipa,2,3,3,0,1.885714285714286e-05,1.6944025354349732e-06,1.885714285714286e-05,1.6944025354349732e-06,Observed-only summary is conditional where counts are missing
hipa,3,3,3,0,7.586206896551724e-06,3.7306859179544786e-07,7.586206896551724e-06,3.7306859179544786e-07,Observed-only summary is conditional where counts are missing
hipa,5,3,3,0,1.0000000000000002e-06,1.6944025354349745e-07,1.0000000000000002e-06,1.6944025354349745e-07,Observed-only summary is conditional where counts are missing
hipa,7,3,3,0,3.714285714285715e-07,1.4997752171755518e-07,3.714285714285715e-07,1.4997752171755518e-07,Observed-only summary is conditional where counts are missing
pc,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
pc,1,3,3,0,0.215,0.06091561289077365,0.215,0.06091561289077365,Observed-only summary is conditional where counts are missing
pc,2,3,3,0,0.058499999999999996,0.005712379136006886,0.058499999999999996,0.005712379136006886,Observed-only summary is conditional where counts are missing
pc,3,3,3,0,0.04800000000000001,0.0073485501265060284,0.04800000000000001,0.0073485501265060284,Observed-only summary is conditional where counts are missing
pc,5,3,3,0,0.012500000000000002,0.000805762075274779,0.012500000000000002,0.000805762075274779,Observed-only summary is conditional where counts are missing
pc,7,3,3,0,0.00391304347826087,0.00038998884443299507,0.00391304347826087,0.00038998884443299507,Observed-only summary is conditional where counts are missing
plac,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
plac,1,3,3,0,0.00044000000000000007,8.895613311033603e-05,0.00044000000000000007,8.895613311033603e-05,Observed-only summary is conditional where counts are missing
plac,2,3,3,0,0.0003958333333333334,2.0297530372398173e-05,0.0003958333333333334,2.0297530372398173e-05,Observed-only summary is conditional where counts are missing
plac,3,3,3,0,0.00031000000000000005,1.1649017431115336e-05,0.00031000000000000005,1.1649017431115336e-05,Observed-only summary is conditional where counts are missing
plac,5,3,3,0,8.214285714285714e-05,4.236006338587448e-06,8.214285714285714e-05,4.236006338587448e-06,Observed-only summary is conditional where counts are missing
plac,7,3,3,0,2.166666666666667e-06,7.236510828420205e-07,2.166666666666667e-06,7.236510828420205e-07,Observed-only summary is conditional where counts are missing
prs,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
prs,1,3,3,0,0.038235294117647055,0.006659817452110738,0.038235294117647055,0.006659817452110738,Observed-only summary is conditional where counts are missing
prs,2,3,3,0,0.004363636363636364,0.0003908678576060221,0.004363636363636364,0.0003908678576060221,Observed-only summary is conditional where counts are missing
prs,3,3,3,0,0.0019411764705882352,0.0005058289921960284,0.0019411764705882352,0.0005058289921960284,Observed-only summary is conditional where counts are missing
prs,5,3,3,0,0.00017058823529411766,9.724126315492623e-05,0.00017058823529411766,9.724126315492623e-05,Observed-only summary is conditional where counts are missing
prs,7,3,3,0,2.647058823529412e-05,9.593308472683306e-06,2.647058823529412e-05,9.593308472683306e-06,Observed-only summary is conditional where counts are missing
wt,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
wt,1,3,3,0,1.5185185185185186e-05,2.9432399597000073e-06,1.5185185185185186e-05,2.9432399597000073e-06,Observed-only summary is conditional where counts are missing
wt,2,3,3,0,1.0714285714285714e-06,1.1374461464725535e-07,1.0714285714285714e-06,1.1374461464725535e-07,Observed-only summary is conditional where counts are missing
wt,3,3,3,0,3.2142857142857145e-07,1.2072618064974186e-07,3.2142857142857145e-07,1.2072618064974186e-07,Observed-only summary is conditional where counts are missing
wt,5,3,3,0,8.000000000000001e-08,6.369698420246292e-08,8.000000000000001e-08,6.369698420246292e-08,Observed-only summary is conditional where counts are missing
wt,7,3,3,0,4.000000000000001e-08,6.354009507881166e-09,4.000000000000001e-08,6.354009507881166e-09,Observed-only summary is conditional where counts are missing
