Day,Tube,Strain,Culture,Name,Replicate,Time,Count,Dilution,Factor,CFU,TimeZero,Fraction,source_excel_row,count_status,fraction_workbook,fraction_observed,included_in_original_panel,replicate_original,cfu_formula,formula_volume_mL,record_note,source_workbook,figure
1,1,ATEC,1,ATEC1,1,0,46,5,1e-05,229999999.99999997,229999999.99999997,1.0,2,measured,1.0,1.0,True,1,=H2/(J2*0.02),0.020000000000000004,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,2,ATEC,1,ATEC1,2,0,49,5,1e-05,244999999.99999997,244999999.99999997,1.0,3,measured,1.0,1.0,True,2,=H3/(J3*0.02),0.020000000000000004,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,3,ATEC,1,ATEC1,3,0,56,5,1e-05,280000000.0,280000000.0,1.0,4,measured,1.0,1.0,True,3,=H4/(J4*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,4,ATECc,1,ATECc1,1,0,30,5,1e-05,150000000.0,150000000.0,1.0,5,measured,1.0,1.0,True,1,=H5/(J5*0.02),0.019999999999999997,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,5,ATECc,1,ATECc1,2,0,28,5,1e-05,140000000.0,140000000.0,1.0,6,measured,1.0,1.0,True,2,=H6/(J6*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,6,ATECc,1,ATECc1,3,0,37,5,1e-05,184999999.99999997,184999999.99999997,1.0,7,measured,1.0,1.0,True,3,=H7/(J7*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,7,ATECc,2,ATECc2,1,0,37,5,1e-05,184999999.99999997,184999999.99999997,1.0,8,measured,1.0,1.0,True,1,=H8/(J8*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,8,ATECc,2,ATECc2,2,0,59,5,1e-05,295000000.0,295000000.0,1.0,9,measured,1.0,1.0,True,2,=H9/(J9*0.02),0.019999999999999997,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,9,ATECc,2,ATECc2,3,0,45,5,1e-05,224999999.99999997,224999999.99999997,1.0,10,measured,1.0,1.0,True,3,=H10/(J10*0.02),0.020000000000000004,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,10,ATECc,3,ATECc3,1,0,51,5,1e-05,254999999.99999997,254999999.99999997,1.0,11,measured,1.0,1.0,True,1,=H11/(J11*0.02),0.020000000000000004,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,11,ATECc,3,ATECc3,2,0,51,5,1e-05,254999999.99999997,254999999.99999997,1.0,12,measured,1.0,1.0,True,2,=H12/(J12*0.02),0.020000000000000004,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,12,ATECc,3,ATECc3,3,0,41,5,1e-05,204999999.99999997,204999999.99999997,1.0,13,measured,1.0,1.0,True,3,=H13/(J13*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,13,ATECc,4,ATECc4,1,0,35,5,1e-05,174999999.99999997,174999999.99999997,1.0,14,measured,1.0,1.0,True,1,=H14/(J14*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,14,ATECc,4,ATECc4,2,0,29,5,1e-05,145000000.0,145000000.0,1.0,15,measured,1.0,1.0,True,2,=H15/(J15*0.02),0.019999999999999997,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,15,ATECc,4,ATECc4,3,0,37,5,1e-05,184999999.99999997,184999999.99999997,1.0,16,measured,1.0,1.0,True,3,=H16/(J16*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,16,ATECc,5,ATECc5,1,0,46,5,1e-05,229999999.99999997,229999999.99999997,1.0,17,measured,1.0,1.0,True,1,=H17/(J17*0.02),0.020000000000000004,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,17,ATECc,5,ATECc5,2,0,37,5,1e-05,184999999.99999997,184999999.99999997,1.0,18,measured,1.0,1.0,True,2,=H18/(J18*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,18,ATECc,5,ATECc5,3,0,30,5,1e-05,150000000.0,150000000.0,1.0,19,measured,1.0,1.0,True,3,=H19/(J19*0.02),0.019999999999999997,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,19,ATECc,6,ATECc6,1,0,41,5,1e-05,204999999.99999997,204999999.99999997,1.0,20,measured,1.0,1.0,True,1,=H20/(J20*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
1,20,ATECc,6,ATECc6,2,0,41,5,1e-05,204999999.99999997,204999999.99999997,1.0,21,measured,1.0,1.0,True,2,=H21/(J21*0.02),0.02,40 uL entries require confirmation,working/figures/Supplemental Figure 4 - Pb/E - MDK/mdk.ATECc.cultures.xlsx,Supplementary Figure 4
