check,panel,drug,item,passed
expected unique culture IDs,fig2_paplpc,Levofloxacin,P,True
finite positive IC50,fig2_paplpc,Levofloxacin,P,True
finite positive MIC,fig2_paplpc,Levofloxacin,P,True
1000 valid fit draws per culture,fig2_paplpc,Levofloxacin,P,True
expected unique culture IDs,fig2_paplpc,Levofloxacin,PA,True
finite positive IC50,fig2_paplpc,Levofloxacin,PA,True
finite positive MIC,fig2_paplpc,Levofloxacin,PA,True
1000 valid fit draws per culture,fig2_paplpc,Levofloxacin,PA,True
expected unique culture IDs,fig2_paplpc,Levofloxacin,PL,True
finite positive IC50,fig2_paplpc,Levofloxacin,PL,True
finite positive MIC,fig2_paplpc,Levofloxacin,PL,True
1000 valid fit draws per culture,fig2_paplpc,Levofloxacin,PL,True
expected unique culture IDs,fig2_paplpc,Levofloxacin,PC,True
finite positive IC50,fig2_paplpc,Levofloxacin,PC,True
finite positive MIC,fig2_paplpc,Levofloxacin,PC,True
1000 valid fit draws per culture,fig2_paplpc,Levofloxacin,PC,True
expected unique culture IDs,fig2_paplpc,Amikacin,P,True
finite positive IC50,fig2_paplpc,Amikacin,P,True
finite positive MIC,fig2_paplpc,Amikacin,P,True
1000 valid fit draws per culture,fig2_paplpc,Amikacin,P,True
expected unique culture IDs,fig2_paplpc,Amikacin,PA,True
finite positive IC50,fig2_paplpc,Amikacin,PA,True
finite positive MIC,fig2_paplpc,Amikacin,PA,True
1000 valid fit draws per culture,fig2_paplpc,Amikacin,PA,True
expected unique culture IDs,fig2_paplpc,Amikacin,PL,True
finite positive IC50,fig2_paplpc,Amikacin,PL,True
finite positive MIC,fig2_paplpc,Amikacin,PL,True
1000 valid fit draws per culture,fig2_paplpc,Amikacin,PL,True
expected unique culture IDs,fig2_paplpc,Amikacin,PC,True
finite positive IC50,fig2_paplpc,Amikacin,PC,True
finite positive MIC,fig2_paplpc,Amikacin,PC,True
1000 valid fit draws per culture,fig2_paplpc,Amikacin,PC,True
expected unique culture IDs,fig2_paplpc,Cefepime,P,True
finite positive IC50,fig2_paplpc,Cefepime,P,True
finite positive MIC,fig2_paplpc,Cefepime,P,True
1000 valid fit draws per culture,fig2_paplpc,Cefepime,P,True
expected unique culture IDs,fig2_paplpc,Cefepime,PA,True
finite positive IC50,fig2_paplpc,Cefepime,PA,True
finite positive MIC,fig2_paplpc,Cefepime,PA,True
1000 valid fit draws per culture,fig2_paplpc,Cefepime,PA,True
expected unique culture IDs,fig2_paplpc,Cefepime,PL,True
finite positive IC50,fig2_paplpc,Cefepime,PL,True
finite positive MIC,fig2_paplpc,Cefepime,PL,True
1000 valid fit draws per culture,fig2_paplpc,Cefepime,PL,True
expected unique culture IDs,fig2_paplpc,Cefepime,PC,True
finite positive IC50,fig2_paplpc,Cefepime,PC,True
finite positive MIC,fig2_paplpc,Cefepime,PC,True
1000 valid fit draws per culture,fig2_paplpc,Cefepime,PC,True
expected unique culture IDs,fig3_plac,Levofloxacin,P,True
finite positive IC50,fig3_plac,Levofloxacin,P,True
finite positive MIC,fig3_plac,Levofloxacin,P,True
1000 valid fit draws per culture,fig3_plac,Levofloxacin,P,True
expected unique culture IDs,fig3_plac,Levofloxacin,PL,True
finite positive IC50,fig3_plac,Levofloxacin,PL,True
finite positive MIC,fig3_plac,Levofloxacin,PL,True
1000 valid fit draws per culture,fig3_plac,Levofloxacin,PL,True
expected unique culture IDs,fig3_plac,Levofloxacin,PLA,True
finite positive IC50,fig3_plac,Levofloxacin,PLA,True
finite positive MIC,fig3_plac,Levofloxacin,PLA,True
1000 valid fit draws per culture,fig3_plac,Levofloxacin,PLA,True
expected unique culture IDs,fig3_plac,Levofloxacin,PLAC,True
finite positive IC50,fig3_plac,Levofloxacin,PLAC,True
finite positive MIC,fig3_plac,Levofloxacin,PLAC,True
1000 valid fit draws per culture,fig3_plac,Levofloxacin,PLAC,True
expected unique culture IDs,fig3_plac,Amikacin,P,True
finite positive IC50,fig3_plac,Amikacin,P,True
finite positive MIC,fig3_plac,Amikacin,P,True
1000 valid fit draws per culture,fig3_plac,Amikacin,P,True
expected unique culture IDs,fig3_plac,Amikacin,PL,True
finite positive IC50,fig3_plac,Amikacin,PL,True
finite positive MIC,fig3_plac,Amikacin,PL,True
1000 valid fit draws per culture,fig3_plac,Amikacin,PL,True
expected unique culture IDs,fig3_plac,Amikacin,PLA,True
finite positive IC50,fig3_plac,Amikacin,PLA,True
finite positive MIC,fig3_plac,Amikacin,PLA,True
1000 valid fit draws per culture,fig3_plac,Amikacin,PLA,True
expected unique culture IDs,fig3_plac,Amikacin,PLAC,True
finite positive IC50,fig3_plac,Amikacin,PLAC,True
finite positive MIC,fig3_plac,Amikacin,PLAC,True
1000 valid fit draws per culture,fig3_plac,Amikacin,PLAC,True
expected unique culture IDs,fig3_plac,Cefepime,P,True
finite positive IC50,fig3_plac,Cefepime,P,True
finite positive MIC,fig3_plac,Cefepime,P,True
1000 valid fit draws per culture,fig3_plac,Cefepime,P,True
expected unique culture IDs,fig3_plac,Cefepime,PL,True
finite positive IC50,fig3_plac,Cefepime,PL,True
finite positive MIC,fig3_plac,Cefepime,PL,True
1000 valid fit draws per culture,fig3_plac,Cefepime,PL,True
expected unique culture IDs,fig3_plac,Cefepime,PLA,True
finite positive IC50,fig3_plac,Cefepime,PLA,True
finite positive MIC,fig3_plac,Cefepime,PLA,True
1000 valid fit draws per culture,fig3_plac,Cefepime,PLA,True
expected unique culture IDs,fig3_plac,Cefepime,PLAC,True
finite positive IC50,fig3_plac,Cefepime,PLAC,True
finite positive MIC,fig3_plac,Cefepime,PLAC,True
1000 valid fit draws per culture,fig3_plac,Cefepime,PLAC,True
expected unique culture IDs,supp3_pcr,Levofloxacin,P,True
finite positive IC50,supp3_pcr,Levofloxacin,P,True
finite positive MIC,supp3_pcr,Levofloxacin,P,True
1000 valid fit draws per culture,supp3_pcr,Levofloxacin,P,True
expected unique culture IDs,supp3_pcr,Levofloxacin,PCr,True
finite positive IC50,supp3_pcr,Levofloxacin,PCr,True
finite positive MIC,supp3_pcr,Levofloxacin,PCr,True
1000 valid fit draws per culture,supp3_pcr,Levofloxacin,PCr,True
expected unique culture IDs,supp3_pcr,Amikacin,P,True
finite positive IC50,supp3_pcr,Amikacin,P,True
finite positive MIC,supp3_pcr,Amikacin,P,True
1000 valid fit draws per culture,supp3_pcr,Amikacin,P,True
expected unique culture IDs,supp3_pcr,Amikacin,PCr,True
finite positive IC50,supp3_pcr,Amikacin,PCr,True
finite positive MIC,supp3_pcr,Amikacin,PCr,True
1000 valid fit draws per culture,supp3_pcr,Amikacin,PCr,True
expected unique culture IDs,supp3_pcr,Cefepime,P,True
finite positive IC50,supp3_pcr,Cefepime,P,True
finite positive MIC,supp3_pcr,Cefepime,P,True
1000 valid fit draws per culture,supp3_pcr,Cefepime,P,True
expected unique culture IDs,supp3_pcr,Cefepime,PCr,True
finite positive IC50,supp3_pcr,Cefepime,PCr,True
finite positive MIC,supp3_pcr,Cefepime,PCr,True
1000 valid fit draws per culture,supp3_pcr,Cefepime,PCr,True
expected unique culture IDs,supp4_atec,Levofloxacin,ATEC,True
finite positive IC50,supp4_atec,Levofloxacin,ATEC,True
finite positive MIC,supp4_atec,Levofloxacin,ATEC,True
1000 valid fit draws per culture,supp4_atec,Levofloxacin,ATEC,True
expected unique culture IDs,supp4_atec,Levofloxacin,ATEC-C,True
finite positive IC50,supp4_atec,Levofloxacin,ATEC-C,True
finite positive MIC,supp4_atec,Levofloxacin,ATEC-C,True
1000 valid fit draws per culture,supp4_atec,Levofloxacin,ATEC-C,True
expected unique culture IDs,supp4_atec,Levofloxacin,ATEC-C-r,True
finite positive IC50,supp4_atec,Levofloxacin,ATEC-C-r,True
finite positive MIC,supp4_atec,Levofloxacin,ATEC-C-r,True
1000 valid fit draws per culture,supp4_atec,Levofloxacin,ATEC-C-r,True
expected unique culture IDs,supp4_atec,Amikacin,ATEC,True
finite positive IC50,supp4_atec,Amikacin,ATEC,True
finite positive MIC,supp4_atec,Amikacin,ATEC,True
1000 valid fit draws per culture,supp4_atec,Amikacin,ATEC,True
expected unique culture IDs,supp4_atec,Amikacin,ATEC-C,True
finite positive IC50,supp4_atec,Amikacin,ATEC-C,True
finite positive MIC,supp4_atec,Amikacin,ATEC-C,True
1000 valid fit draws per culture,supp4_atec,Amikacin,ATEC-C,True
expected unique culture IDs,supp4_atec,Amikacin,ATEC-C-r,True
finite positive IC50,supp4_atec,Amikacin,ATEC-C-r,True
finite positive MIC,supp4_atec,Amikacin,ATEC-C-r,True
1000 valid fit draws per culture,supp4_atec,Amikacin,ATEC-C-r,True
expected unique culture IDs,supp4_atec,Cefepime,ATEC,True
finite positive IC50,supp4_atec,Cefepime,ATEC,True
finite positive MIC,supp4_atec,Cefepime,ATEC,True
1000 valid fit draws per culture,supp4_atec,Cefepime,ATEC,True
expected unique culture IDs,supp4_atec,Cefepime,ATEC-C,True
finite positive IC50,supp4_atec,Cefepime,ATEC-C,True
finite positive MIC,supp4_atec,Cefepime,ATEC-C,True
1000 valid fit draws per culture,supp4_atec,Cefepime,ATEC-C,True
expected unique culture IDs,supp4_atec,Cefepime,ATEC-C-r,True
finite positive IC50,supp4_atec,Cefepime,ATEC-C-r,True
finite positive MIC,supp4_atec,Cefepime,ATEC-C-r,True
1000 valid fit draws per culture,supp4_atec,Cefepime,ATEC-C-r,True
expected unique culture IDs,supp6_unt,Levofloxacin,P,True
finite positive IC50,supp6_unt,Levofloxacin,P,True
finite positive MIC,supp6_unt,Levofloxacin,P,True
1000 valid fit draws per culture,supp6_unt,Levofloxacin,P,True
expected unique culture IDs,supp6_unt,Levofloxacin,P-unt,True
finite positive IC50,supp6_unt,Levofloxacin,P-unt,True
finite positive MIC,supp6_unt,Levofloxacin,P-unt,True
1000 valid fit draws per culture,supp6_unt,Levofloxacin,P-unt,True
expected unique culture IDs,supp6_unt,Amikacin,P,True
finite positive IC50,supp6_unt,Amikacin,P,True
finite positive MIC,supp6_unt,Amikacin,P,True
1000 valid fit draws per culture,supp6_unt,Amikacin,P,True
expected unique culture IDs,supp6_unt,Amikacin,P-unt,True
finite positive IC50,supp6_unt,Amikacin,P-unt,True
finite positive MIC,supp6_unt,Amikacin,P-unt,True
1000 valid fit draws per culture,supp6_unt,Amikacin,P-unt,True
expected unique culture IDs,supp6_unt,Cefepime,P,True
