dataset,strain,group,culture_id,drug,IC50,MIC,biological_unit,unit_type,lineage_id,matching,included_in_comparison,analysis_source,Experiment,Day,Plate,Plate_ID,Well,Row,Column
fig2_paplpc,P1,P,1,Levofloxacin,0.03075589757246813,0.06329206379515726,P1,culture,1,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1|2,,,1|100,A1|A2|A3|A4|A5|A6|A7|A8|A9|A10|A11|A12|B1|B2|B3|B4|B5|B6|B7|B8|B9|B10|B11|B12|C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12|D1|D2|D3|D4|D5|D6|D7|D8|D9|D10|D11|D12,1|2|3|4,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P2,P,2,Levofloxacin,0.03508597696730427,0.10326810869900518,P2,culture,2,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1|2,,,1|100,D1|D2|D3|D4|D5|D6|D7|D8|D9|D10|D11|D12|E1|E2|E3|E4|E5|E6|E7|E8|E9|E10|E11|E12|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12,4|5|6|7,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P3,P,3,Levofloxacin,0.031816097289626366,0.08200273790199224,P3,culture,3,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1|2,,,1|2|101,G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12|A1|A2|A3|A4|A5|A6|A7|A8|A9|A10|A11|A12|B1|B2|B3|B4|B5|B6|B7|B8|B9|B10|B11|B12|C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12|D1|D2|D3|D4|D5|D6|D7|D8|D9|D10|D11|D12,7|1|2|3|4,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P4,P,4,Levofloxacin,0.039580666917931995,0.16315742225621668,P4,culture,4,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1|2,,,2|101,C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12|D1|D2|D3|D4|D5|D6|D7|D8|D9|D10|D11|D12|E1|E2|E3|E4|E5|E6|E7|E8|E9|E10|E11|E12|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12,3|4|5|6|7,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P5,P,5,Levofloxacin,0.030620599370258288,0.07603460336329834,P5,culture,5,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1|2,,,2|3|102,F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12|A1|A2|A3|A4|A5|A6|A7|A8|A9|A10|A11|A12|B1|B2|B3|B4|B5|B6|B7|B8|B9|B10|B11|B12|C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12|D1|D2|D3|D4|D5|D6|D7|D8|D9|D10|D11|D12,6|7|1|2|3|4,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P6,P,6,Levofloxacin,0.026797113765329523,0.08584711635207026,P6,culture,6,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1|2,,,3|102,B1|B2|B3|B4|B5|B6|B7|B8|B9|B10|B11|B12|C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12|D1|D2|D3|D4|D5|D6|D7|D8|D9|D10|D11|D12|E1|E2|E3|E4|E5|E6|E7|E8|E9|E10|E11|E12|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12,2|3|4|5|6|7,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P7,P,7,Levofloxacin,0.030205450204539356,0.06560713595887836,P7,culture,7,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1,,,3,E1|E2|E3|E4|E5|E6|E7|E8|E9|E10|E11|E12|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12,5|6|7,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P8,P,8,Levofloxacin,0.057518282313681855,0.2031387008875681,P8,culture,8,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1,,,4,A1|A2|A3|A4|A5|A6|A7|A8|A9|A10|A11|A12|B1|B2|B3|B4|B5|B6|B7|B8|B9|B10|B11|B12|C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12,1|2|3,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P9,P,9,Levofloxacin,0.042772903120535104,0.10858083053754158,P9,culture,9,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1,,,4,D1|D2|D3|D4|D5|D6|D7|D8|D9|D10|D11|D12|E1|E2|E3|E4|E5|E6|E7|E8|E9|E10|E11|E12|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12,4|5|6,1|2|3|4|5|6|7|8|9|10|11|12
fig2_paplpc,P10,P,10,Levofloxacin,0.04118297592291217,0.1759867410623531,P10,culture,10,confirmed 17 August 2026,True,cache/fig2_paplpc__df_analysis.pkl,1,,,4|5,G1|G2|G3|G4|G5|G6|G7|G8|G9|G10|G11|G12|A1|A2|A3|A4|A5|A6|A7|A8|A9|A10|A11|A12|B1|B2|B3|B4|B5|B6|B7|B8|B9|B10|B11|B12,7|1|2,1|2|3|4|5|6|7|8|9|10|11|12
