Culture,day,after,before,survival_percent,antibiotic
1,1,55000.0,400000000.0,0.01375,Amikacin
1,2,35000.0,350000000.0,0.01,Amikacin
1,3,280000.0,550000000.0,0.05090909090909091,Amikacin
1,4,165000000.0,300000000.0,55.0,Amikacin
1,5,204999999.99999997,300000000.0,68.33333333333331,Amikacin
1,6,500000000.0,400000000.0,125.0,Amikacin
1,7,600000000.0,350000000.0,171.42857142857142,Amikacin
1,8,29999999.999999996,350000000.0,8.57142857142857,Amikacin
1,9,300000000.0,300000000.0,100.0,Amikacin
1,10,650000000.0,200000000.0,325.0,Amikacin
1,11,350000000.0,270000000.0,129.62962962962962,Amikacin
1,12,150000000.0,75000000.0,200.0,Amikacin
1,13,40000000.0,550000000.0,7.2727272727272725,Amikacin
1,14,44999999.99999999,24999999.999999996,180.0,Amikacin
2,1,10000.0,400000000.0,0.0025,Amikacin
2,2,899999.9999999999,200000000.0,0.4499999999999999,Amikacin
2,3,55000.0,350000000.0,0.015714285714285715,Amikacin
2,4,4499999.999999999,300000000.0,1.4999999999999996,Amikacin
2,5,114999999.99999999,200000000.0,57.49999999999999,Amikacin
2,6,124999999.99999999,250000000.0,49.99999999999999,Amikacin
2,7,29999999.999999996,200000000.0,14.999999999999998,Amikacin
2,8,350000000.0,450000000.0,77.77777777777777,Amikacin
2,9,75000000.0,160000000.0,46.875,Amikacin
2,10,650000000.0,200000000.0,325.0,Amikacin
2,11,300000000.0,300000000.0,100.0,Amikacin
2,12,4500000000.0,194999999.99999997,2307.692307692308,Amikacin
2,13,124999999.99999999,150000000.0,83.33333333333331,Amikacin
2,14,200000000.0,64999999.99999999,307.69230769230774,Amikacin
3,1,55000.0,150000000.0,0.03666666666666667,Amikacin
3,2,4499999.999999999,400000000.0,1.1249999999999998,Amikacin
3,3,90000.0,750000000.0,0.012,Amikacin
3,4,1300000.0,300000000.0,0.43333333333333335,Amikacin
3,5,350000000.0,285000000.0,122.80701754385964,Amikacin
3,6,70000000.0,44999999.99999999,155.55555555555557,Amikacin
3,7,59999999.99999999,500000000.0,11.999999999999998,Amikacin
3,8,194999999.99999997,150000000.0,129.99999999999997,Amikacin
3,9,1150000000.0,450000000.0,255.55555555555554,Amikacin
3,10,950000000.0,350000000.0,271.42857142857144,Amikacin
3,11,1550000000.0,200000000.0,775.0,Amikacin
3,12,500000000.0,300000000.0,166.66666666666666,Amikacin
3,13,400000000.0,250000000.0,160.0,Amikacin
3,14,400000000.0,350000000.0,114.28571428571429,Amikacin
4,1,30000.0,204999999.99999997,0.014634146341463417,Amikacin
4,2,499999.99999999994,400000000.0,0.12499999999999999,Amikacin
4,3,110000.0,450000000.0,0.024444444444444446,Amikacin
4,4,4499999.999999999,150000000.0,2.999999999999999,Amikacin
4,5,23999999.999999996,259999999.99999997,9.23076923076923,Amikacin
4,6,400000000.0,450000000.0,88.88888888888889,Amikacin
4,7,300000000.0,300000000.0,100.0,Amikacin
4,8,94999999.99999999,950000000.0,9.999999999999998,Amikacin
4,9,600000000.0,800000000.0,75.0,Amikacin
4,10,250000000.0,150000000.0,166.66666666666666,Amikacin
4,11,650000000.0,350000000.0,185.71428571428572,Amikacin
4,12,300000000.0,129999999.99999999,230.7692307692308,Amikacin
4,13,400000000.0,250000000.0,160.0,Amikacin
4,14,70000000.0,250000000.0,28.0,Amikacin
5,1,399999.99999999994,109999999.99999999,0.3636363636363636,Amikacin
5,2,25000.0,350000000.0,0.007142857142857143,Amikacin
5,3,130000.0,450000000.0,0.028888888888888888,Amikacin
5,4,650000.0,200000000.0,0.325,Amikacin
5,5,89999999.99999999,250000000.0,35.99999999999999,Amikacin
5,6,450000000.0,200000000.0,225.0,Amikacin
5,7,160000000.0,350000000.0,45.714285714285715,Amikacin
5,8,135000000.0,300000000.0,45.0,Amikacin
5,9,600000000.0,400000000.0,150.0,Amikacin
5,10,500000000.0,310000000.0,161.29032258064515,Amikacin
5,11,350000000.0,350000000.0,100.0,Amikacin
5,12,200000000.0,550000000.0,36.36363636363637,Amikacin
5,13,109999999.99999999,250000000.0,43.99999999999999,Amikacin
5,14,29999999.999999996,70000000.0,42.85714285714285,Amikacin
6,1,40000.0,350000000.0,0.011428571428571429,Amikacin
6,2,55000.0,454999999.99999994,0.01208791208791209,Amikacin
6,3,75000.0,450000000.0,0.016666666666666666,Amikacin
6,4,2600000.0,200000000.0,1.3,Amikacin
6,5,119999999.99999999,100000000.0,119.99999999999999,Amikacin
6,6,14499999.999999998,200000000.0,7.249999999999999,Amikacin
6,7,64999999.99999999,200000000.0,32.49999999999999,Amikacin
6,8,129999999.99999999,300000000.0,43.33333333333333,Amikacin
6,9,950000000.0,300000000.0,316.6666666666667,Amikacin
6,10,700000000.0,450000000.0,155.55555555555554,Amikacin
6,11,1050000000.0,450000000.0,233.33333333333334,Amikacin
6,12,1100000000.0,700000000.0,157.14285714285714,Amikacin
6,13,550000000.0,384999999.99999994,142.8571428571429,Amikacin
6,14,750000000.0,550000000.0,136.36363636363637,Amikacin
7,1,80000.0,100000000.0,0.08,Amikacin
7,2,15500.0,300000000.0,0.005166666666666667,Amikacin
7,3,1150000.0,200000000.0,0.575,Amikacin
7,4,70000000.0,350000000.0,20.0,Amikacin
7,5,450000000.0,350000000.0,128.57142857142858,Amikacin
7,6,379999999.99999994,450000000.0,84.44444444444443,Amikacin
7,7,400000000.0,49999999.99999999,800.0000000000001,Amikacin
7,8,59999999.99999999,200000000.0,29.999999999999996,Amikacin
7,9,150000000.0,450000000.0,33.333333333333336,Amikacin
7,10,450000000.0,250000000.0,180.0,Amikacin
7,11,200000000.0,300000000.0,66.66666666666667,Amikacin
7,12,94999999.99999999,200000000.0,47.49999999999999,Amikacin
7,13,140000000.0,114999999.99999999,121.73913043478262,Amikacin
7,14,119999999.99999999,40000000.0,299.99999999999994,Amikacin
8,1,45000.0,300000000.0,0.015,Amikacin
8,2,110000.0,450000000.0,0.024444444444444446,Amikacin
8,3,300000.0,350000000.0,0.08571428571428572,Amikacin
8,4,20000000.0,315000000.0,6.349206349206349,Amikacin
8,5,250000000.0,200000000.0,125.0,Amikacin
8,6,254999999.99999997,119999999.99999999,212.5,Amikacin
8,7,24999999.999999996,135000000.0,18.518518518518515,Amikacin
8,8,114999999.99999999,200000000.0,57.49999999999999,Amikacin
8,9,150000000.0,250000000.0,60.0,Amikacin
8,10,250000000.0,165000000.0,151.5151515151515,Amikacin
8,11,100000000.0,150000000.0,66.66666666666667,Amikacin
8,12,15499999.999999998,35000000.0,44.28571428571428,Amikacin
8,13,20000000.0,20000000.0,100.0,Amikacin
8,14,40000000.0,11499999.999999998,347.8260869565218,Amikacin
9,1,65000.0,200000000.0,0.0325,Amikacin
9,2,70000.0,300000000.0,0.023333333333333334,Amikacin
9,3,35000.0,400000000.0,0.00875,Amikacin
9,4,6999999.999999999,150000000.0,4.666666666666666,Amikacin
9,5,450000000.0,450000000.0,100.0,Amikacin
9,6,250000000.0,400000000.0,62.5,Amikacin
9,7,100000000.0,350000000.0,28.571428571428573,Amikacin
9,8,219999999.99999997,250000000.0,87.99999999999999,Amikacin
9,9,500000000.0,250000000.0,200.0,Amikacin
9,10,750000000.0,450000000.0,166.66666666666666,Amikacin
9,11,400000000.0,350000000.0,114.28571428571429,Amikacin
9,12,250000000.0,350000000.0,71.42857142857143,Amikacin
9,13,80000000.0,100000000.0,80.0,Amikacin
9,14,500000000.0,400000000.0,125.0,Amikacin
10,1,30000.0,300000000.0,0.01,Amikacin
10,2,140000.0,400000000.0,0.035,Amikacin
10,3,849999.9999999999,209999999.99999997,0.40476190476190477,Amikacin
10,4,20000000.0,550000000.0,3.6363636363636362,Amikacin
10,5,150000000.0,209999999.99999997,71.42857142857144,Amikacin
10,6,70000000.0,250000000.0,28.0,Amikacin
10,7,250000000.0,129999999.99999999,192.30769230769232,Amikacin
10,8,119999999.99999999,350000000.0,34.28571428571428,Amikacin
10,9,349999999.99999994,200000000.0,174.99999999999997,Amikacin
10,10,250000000.0,150000000.0,166.66666666666666,Amikacin
10,11,200000000.0,250000000.0,80.0,Amikacin
10,12,350000000.0,250000000.0,140.0,Amikacin
10,13,119999999.99999999,500000000.0,23.999999999999996,Amikacin
10,14,165000000.0,300000000.0,55.0,Amikacin
1,1,60000.0,200000000.0,0.03,Levofloxacin
1,2,14000.0,184999999.99999997,0.007567567567567569,Levofloxacin
1,3,115000.0,700000000.0,0.016428571428571428,Levofloxacin
1,4,300000.0,200000000.0,0.15,Levofloxacin
1,5,8999999.999999998,350000000.0,2.5714285714285707,Levofloxacin
1,6,44999999.99999999,800000000.0,5.624999999999999,Levofloxacin
1,7,59999999.99999999,400000000.0,14.999999999999998,Levofloxacin
1,8,85000000.0,250000000.0,34.0,Levofloxacin
1,9,59999999.99999999,400000000.0,14.999999999999998,Levofloxacin
1,10,99999999.99999999,300000000.0,33.33333333333333,Levofloxacin
1,11,204999999.99999997,300000000.0,68.33333333333331,Levofloxacin
1,12,140000000.0,135000000.0,103.70370370370371,Levofloxacin
1,13,300000000.0,450000000.0,66.66666666666667,Levofloxacin
1,14,114999999.99999999,140000000.0,82.14285714285712,Levofloxacin
1,15,350000000.0,250000000.0,140.0,Levofloxacin
1,16,250000000.0,150000000.0,166.66666666666666,Levofloxacin
