day,n,mean,sd
1,10,0.19031382184514758,0.17492198640471332
2,10,0.3051193605096315,0.3753570022118493
3,10,0.326428394412558,0.5000235647506658
4,10,0.2301970068908342,0.2892906141495401
5,10,0.42638594439299204,0.3625128870899089
6,10,0.9308257848049386,1.7086395033517254
7,10,1.8945986343664074,2.8939862931892124
8,10,5.138375066015952,4.679904161270676
9,10,2.402401313457564,3.555902962256529
10,10,3.4966795911346993,4.113632787893746
11,10,1.791543504804374,1.2224673829229333
12,10,5.5949114545218865,6.888715670388777
13,10,20.33922009067248,36.75002468736332
14,10,19.438600508778343,26.119126425284723
15,10,29.48235218139962,40.59053626883617
16,10,24.720370889421595,27.372463289137432
17,10,56.049226591048615,61.872964795739506
18,10,19.120173971291244,19.833166814885836
19,10,37.43621679999656,23.856338640012506
20,10,34.7224000558241,30.50381822914457
