Panel,value,Antibiotic,Strain,replicates,values,n_technical,geomean,min,max,ratio_vs_MG,ratio_min,ratio_max
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,MG,"three technical dose-response series, one overnight culture",0.03739927975799919;0.03677804136363831;0.03558515046857118,3,0.03657970628464055,0.03558515046857117,0.0373992797579992,1.0,0.972811268403022,1.0224051408991979
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,gatA,"three technical dose-response series, one overnight culture",0.035306243999103114;0.03709516050271815;0.0380956469769711,3,0.0368141441732241,0.03530624399910311,0.03809564697697109,1.0064089603880169,0.9651866454140404,1.04144212314157
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,glvC,"three technical dose-response series, one overnight culture",0.04026236109773444;0.060154951465725776;0.0593696225153516,3,0.05238958633421076,0.040262361097734435,0.06015495146572576,1.4322035810388292,1.100674805435499,1.644489734215942
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,hipA,"three technical dose-response series, one overnight culture",0.05198010409599951;0.053842660536561074;0.060209889524979764,3,0.055234508727899485,0.051980104095999506,0.06020988952497975,1.5099768242560192,1.4210093348350756,1.645991606834232
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,selB,"three technical dose-response series, one overnight culture",0.09138449517349805;0.06740811189337441;0.10718430833099302,3,0.0870773685840443,0.06740811189337441,0.10718430833099302,2.3804829898431197,1.842773459383363,2.9301577081278705
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,rpoZ,"three technical dose-response series, one overnight culture",0.03381531061359891;0.04272442391255842;0.02908371206435956,3,0.03476533972411098,0.029083712064359567,0.042724423912558415,0.9503996410903002,0.7950777908944426,1.1679816010577966
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,ftsH,"three technical dose-response series, one overnight culture",0.02741050684038969;0.03305833187029728;0.03310836995821577,3,0.03107267196634316,0.027410506840389683,0.033108369958215776,0.8494511061558266,0.7493364388193319,0.9051021268620094
Figure 5b-d / Supplementary Figure 10a-c,IC50,Levofloxacin,fimE,"three technical dose-response series, one overnight culture",0.0379477009604838;0.07653336857933513;0.062378438581358185,3,0.056583559749367046,0.0379477009604838,0.07653336857933514,1.5468565906207374,1.0373976396966766,2.0922357326710066
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,MG,"three technical dose-response series, one overnight culture",4.498299601478186;3.603582781481418;2.7935189282715776,3,3.564332136988976,2.7935189282715776,4.498299601478186,1.0,0.7837425977455191,1.2620315471717496
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,gatA,"three technical dose-response series, one overnight culture",2.8926005327486357;3.630432295382125;3.0455394913994693,3,3.174219922108813,2.8926005327486357,3.6304322953821253,0.8905511046987569,0.8115406818378615,1.018544893083109
