Culture,Well,growth_rate_per_h,doubling_time_min
gatA,B3,2.019848018764211,20.59007927687634
gatA,C3,1.9556464236574103,21.26602760626746
gatA,D3,1.9477347106634735,21.35241036980337
gatA,E3,2.0725926183826595,20.066090395540645
gatA,F3,1.981539391010162,20.988142361578436
gatA,G3,1.8256218817858902,22.78063779171676
glvC,B4,2.0204469017106383,20.583976148239767
glvC,C4,1.9378763421447196,21.46103439581125
glvC,D4,2.055350181130053,20.234425848898773
glvC,E4,2.0311886149615073,20.475120098280414
glvC,F4,2.002631772113787,20.767088294868863
glvC,G4,1.9394023901619049,21.444147457261206
selB,B5,1.9351785210729553,21.490953098496508
selB,C5,1.9016590381383855,21.86976213901614
selB,D5,1.9601235979121727,21.217453265648707
selB,E5,1.9113405056265889,21.758985754326794
selB,F5,1.9661251145880678,21.152687855426837
selB,G5,1.8702250028004037,22.237340839376646
hipA,B6,2.0172258819763105,20.616843758147418
hipA,C6,2.114627665332126,19.667212112759685
hipA,D6,1.8470297985893656,22.516599821702613
hipA,E6,2.1523131712447063,19.322852914357924
hipA,F6,2.1902734750213364,18.987962602793964
hipA,G6,2.0063051088577755,20.72906590826256
rpoZ,B7,1.946339020174068,21.367721862698556
rpoZ,C7,1.9199049794679386,21.661921437967308
rpoZ,D7,1.9263469266260742,21.58948123972561
rpoZ,E7,1.91279190293259,21.74247536798695
rpoZ,F7,1.9435573764502845,21.398303614557864
rpoZ,G7,1.7556580266768664,23.68845766183556
ftsH,B8,1.8736156020200905,22.19709890799189
ftsH,C8,2.0490264034536563,20.296874048815717
ftsH,D8,2.154922024330615,19.299459731734604
ftsH,E8,2.1299327930928165,19.525888783188663
ftsH,F8,2.05273436380767,20.260210754426367
ftsH,G8,2.1299327930928165,19.525888783188663
fimE,B9,1.9215722776235578,21.643125953622913
fimE,C9,1.9031528290605795,21.852596490700904
fimE,D9,1.932088764044724,21.525320993292635
fimE,E9,1.877354728860511,22.152888952872367
fimE,F9,2.0176882106841245,20.61211965920912
fimE,G9,1.877529806139936,22.150823224000003
MG,B10,2.0796953321400165,19.997559349619547
MG,C10,2.2009615419256683,18.895755351186082
MG,D10,2.1039990935107706,19.76656309494927
MG,E10,2.03659430029508,20.420773458695702
MG,F10,1.9505423369094286,21.321675539477333
MG,G10,2.0784199573895195,20.009830393387865
