Panel,Antibiotic,Group,value,cultures,values,n,geomean,lo,hi,min,max
Figure 2b-d,Levofloxacin,P,IC50,"1,2,3,4,5,6,7,8,9,10",0.03075589757246813;0.03508597696730427;0.031816097289626366;0.039580666917931995;0.030620599370258288;0.026797113765329523;0.030205450204539356;0.057518282313681855;0.042772903120535104;0.04118297592291217,10,0.03575255946166259,0.030409727071493826,0.04203409997908041,0.02679711376532953,0.05751828231368185
Figure 2b-d,Levofloxacin,P,MIC,"1,2,3,4,5,6,7,8,9,10",0.06329206379515726;0.10326810869900518;0.08200273790199224;0.16315742225621668;0.07603460336329834;0.08584711635207026;0.06560713595887836;0.2031387008875681;0.10858083053754158;0.1759867410623531,10,0.1038117356856237,0.07692752396565787,0.14009129516339078,0.06329206379515726,0.20313870088756814
Figure 2b-d,Levofloxacin,PA,IC50,"1,2,3,4,5,6,7,8,9,10",0.02594511806948044;0.03619368536416417;0.026527551931505033;0.023398481115972068;0.023830570352744503;0.02568599954676293;0.02578416079005818;0.02955829628702406;0.03659513947463944;0.029224778411318868,10,0.02794866858127771,0.02496922805597497,0.03128362934228482,0.023398481115972074,0.03659513947463944
Figure 2b-d,Levofloxacin,PA,MIC,"1,2,3,4,5,6,7,8,9,10",0.06344605350636436;0.06106723962637218;0.06668891731969584;0.042876377830778724;0.05666071947056205;0.07025679553216092;0.0784854210613522;0.06743514534419079;0.2349497951286562;0.04479159819655887,10,0.06902878035462906,0.049295388997121284,0.09666162726752972,0.04287637783077874,0.23494979512865624
Figure 2b-d,Levofloxacin,PC,IC50,"1,2,3,4,5,6,7,8,9,10",0.06419681894099023;0.029064018340791784;0.03622655675145436;0.04029510890210807;0.031219404431799335;0.07230794595815458;0.02957432793423479;0.052175750229673745;0.02815465919573318;0.044599438089343864,10,0.040513731410078045,0.031757206566220095,0.051684723256290734,0.028154659195733175,0.07230794595815458
Figure 2b-d,Levofloxacin,PC,MIC,"1,2,3,4,5,6,7,8,9,10",0.19156294828687553;0.06903349971007387;0.09350860023720194;0.12397655635844833;0.034037379664118364;0.21937359023415737;0.09427657010556115;0.17400674991597115;0.09860969601246385;0.20056452222005897,10,0.11402095108701452,0.07538064911206184,0.17246836475844401,0.03403737966411836,0.2193735902341574
Figure 2b-d,Levofloxacin,PL,IC50,"1,2,3,4,5,6,7,8,9,10",2.616124382296593;1.3912923905197805;1.4701919577491567;1.199280955434481;0.6948054429478341;1.6555029808967152;0.8217436486689456;1.07546804078312;1.3193828698380163;1.49665459049535,10,1.2912166708199548,0.9909350992900041,1.68249211497093,0.6948054429478341,2.616124382296593
Figure 2b-d,Levofloxacin,PL,MIC,"1,2,3,4,5,6,7,8,9,10",16.44365294822226;8.394422238771934;8.086322006551958;5.2234910913909856;49.30108250755711;4.95310645186283;3.823483987954424;9.64082134117312;6.3599417909307245;11.421921608179554,10,9.08071560918727,5.3742683204086035,15.34337161056893,3.8234839879544236,49.30108250755711
Figure 2b-d,Amikacin,P,IC50,"1,2,3,4,5,6,7,8,9,10",2.787036757387843;3.223472622720201;3.531480499059938;2.9855803093276463;2.793775192217125;1.8671780258019623;2.3428260777137524;3.1204141050789835;4.78367664930266;3.2845679945527646,10,2.988148518197365,2.501567182076948,3.5693750824599886,1.8671780258019623,4.78367664930266
Figure 2b-d,Amikacin,P,MIC,"1,2,3,4,5,6,7,8,9,10",81.26520359691659;34.40183238139791;28.66918509176829;41.08543898857884;32.33970561545491;26.28682926586932;26.66288314867671;45.63122815387165;98.61428507992309;55.84735668287935,10,42.39528381723561,30.43537924083924,59.05495954958234,26.286829265869322,98.61428507992308
