source_excel_row,strain,Name,Replicate,Time,Count,Dilution,Factor,cfu_per_plated_volume,cfu_time_zero,fraction,fraction_lower,fraction_upper,fraction_plot,below_detection,censoring,detection_limit,fraction_workbook,workbook_to_recomputed,normalization_assumption,concentration_assumption
2,MG,wt,1,0,56,5,1e-05,5600000.0,5600000.0,1.0,1.0,1.0,1.0,False,measured,0.017857142857142856,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
3,MG,wt,2,0,69,5,1e-05,6899999.999999999,6899999.999999999,1.0,1.0,1.0,1.0,False,measured,0.014492753623188406,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
4,MG,wt,3,0,50,5,1e-05,5000000.0,5000000.0,1.0,1.0,1.0,1.0,False,measured,0.019999999999999997,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
5,MG,wt,4,0,55,5,1e-05,5500000.0,5500000.0,1.0,1.0,1.0,1.0,False,measured,0.018181818181818177,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
6,MG hipA,hipA,1,0,48,5,1e-05,4800000.0,4800000.0,1.0,1.0,1.0,1.0,False,measured,0.02083333333333333,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
7,MG hipA,hipA,2,0,46,5,1e-05,4600000.0,4600000.0,1.0,1.0,1.0,1.0,False,measured,0.021739130434782605,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
8,MG hipA,hipA,3,0,47,5,1e-05,4700000.0,4700000.0,1.0,1.0,1.0,1.0,False,measured,0.021276595744680847,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
9,MG hipA,hipA,4,0,55,5,1e-05,5500000.0,5500000.0,1.0,1.0,1.0,1.0,False,measured,0.018181818181818177,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
10,MG hipA+selB,hipA_selB,1,0,56,5,1e-05,5600000.0,5600000.0,1.0,1.0,1.0,1.0,False,measured,0.017857142857142856,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
11,MG hipA+selB,hipA_selB,2,0,39,5,1e-05,3899999.9999999995,3899999.9999999995,1.0,1.0,1.0,1.0,False,measured,0.02564102564102564,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
12,MG hipA+selB,hipA_selB,3,0,39,5,1e-05,3899999.9999999995,3899999.9999999995,1.0,1.0,1.0,1.0,False,measured,0.02564102564102564,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
13,MG hipA+selB,hipA_selB,4,0,34,5,1e-05,3399999.9999999995,3399999.9999999995,1.0,1.0,1.0,1.0,False,measured,0.029411764705882353,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
14,MG hipA+ftsH,hipA_ftsH,1,0,22,5,1e-05,2200000.0,2200000.0,1.0,1.0,1.0,1.0,False,measured,0.04545454545454545,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
15,MG hipA+ftsH,hipA_ftsH,2,0,30,5,1e-05,2999999.9999999995,2999999.9999999995,1.0,1.0,1.0,1.0,False,measured,0.03333333333333333,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
16,MG hipA+ftsH,hipA_ftsH,3,0,24,5,1e-05,2400000.0,2400000.0,1.0,1.0,1.0,1.0,False,measured,0.04166666666666666,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
17,MG hipA+ftsH,hipA_ftsH,4,0,27,5,1e-05,2700000.0,2700000.0,1.0,1.0,1.0,1.0,False,measured,0.037037037037037035,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
18,MG hipA+rpoZ,hipA_rpoZ,1,0,49,5,1e-05,4900000.0,4900000.0,1.0,1.0,1.0,1.0,False,measured,0.02040816326530612,1.0,1.0,equal plated volumes across time; awaiting Adam confirmation,"Factor follows recorded dilution, including concentration when Factor > 1"
