Panel,contrast_id,disposition,test_17aug,q_bh_17aug,call_17aug,test_now,p_holm_now,call_now,changed
Figure 2b-d,LEV:P-vs-PA,matched,unpaired Welch,0.0182661791490502,True,"paired t on log10, aligned on culture",0.010496048877342129,True,False
Figure 2b-d,LEV:P-vs-PC,matched,unpaired Welch,0.3481541915323121,False,"paired t on log10, aligned on culture",0.37499844064422516,False,False
Figure 2b-d,LEV:P-vs-PL,matched,unpaired Welch,2.166855849717256e-13,True,"paired t on log10, aligned on culture",4.002973895872818e-09,True,False
Figure 2b-d,AMI:P-vs-PA,matched,unpaired Welch,1.9914983753663607e-11,True,"paired t on log10, aligned on culture",7.994418542947055e-07,True,False
Figure 2b-d,AMI:P-vs-PC,matched,unpaired Welch,0.5940970336609848,False,"paired t on log10, aligned on culture",0.5541866029571267,False,False
Figure 2b-d,AMI:P-vs-PL,matched,unpaired Welch,0.9992346978672256,False,"paired t on log10, aligned on culture",0.9992122642211936,False,False
Figure 2b-d,CEF:P-vs-PA,matched,unpaired Welch,0.018172591755082,True,"paired t on log10, aligned on culture",0.032061092126329294,True,False
Figure 2b-d,CEF:P-vs-PC,matched,unpaired Welch,0.0140258243593883,True,"paired t on log10, aligned on culture",0.026456024648718282,True,False
Figure 2b-d,CEF:P-vs-PL,matched,unpaired Welch,1.2079217108330258e-05,True,"paired t on log10, aligned on culture",0.0005101938531096667,True,False
Figure 3b-d,LEV:P-vs-PL,matched,unpaired Welch,4.333711699434512e-13,True,"paired t on log10, aligned on culture",8.005947791745636e-09,True,False
Figure 3b-d,LEV:P-vs-PLA,matched,unpaired Welch,5.274957636068864e-10,True,"paired t on log10, aligned on culture",1.8920578182228506e-07,True,False
Figure 3b-d,LEV:P-vs-PLAC,matched,unpaired Welch,4.594371931052455e-08,True,"paired t on log10, aligned on culture",1.3009331830820914e-06,True,False
Figure 3b-d,LEV:PL-vs-PLA,matched,paired,0.0006282225694262,True,"paired t on log10, aligned on culture",0.0012564451388524874,True,False
Figure 3b-d,LEV:PL-vs-PLAC,matched,paired,0.0086895065513007,True,"paired t on log10, aligned on culture",0.014482510918834606,True,False
Figure 3b-d,LEV:PLA-vs-PLAC,matched,paired,0.388966435917593,False,"paired t on log10, aligned on culture",0.38896643591759306,False,False
Figure 3b-d,AMI:P-vs-PL,matched,unpaired Welch,0.9992346978672256,False,"paired t on log10, aligned on culture",0.9992122642211936,False,False
